series_id        	year	period	       value	footnote_codes
CES1000000002    	2006	M03	        42.8	
CES1000000002    	2006	M04	        42.7	
CES1000000002    	2006	M05	        42.7	
CES1000000002    	2006	M06	        43.0	
CES1000000002    	2006	M07	        43.0	
CES1000000002    	2006	M08	        43.0	
CES1000000002    	2006	M09	        42.8	
CES1000000002    	2006	M10	        41.8	
CES1000000002    	2006	M11	        42.2	
CES1000000002    	2006	M12	        43.1	
CES1000000002    	2007	M01	        42.2	
CES1000000002    	2007	M02	        43.1	
CES1000000002    	2007	M03	        43.4	
CES1000000002    	2007	M04	        44.3	
CES1000000002    	2007	M05	        44.3	
CES1000000002    	2007	M06	        44.3	
CES1000000002    	2007	M07	        44.0	
CES1000000002    	2007	M08	        44.1	
CES1000000002    	2007	M09	        44.4	
CES1000000002    	2007	M10	        44.2	
CES1000000002    	2007	M11	        44.2	
CES1000000002    	2007	M12	        44.1	
CES1000000002    	2008	M01	        43.4	
CES1000000002    	2008	M02	        43.9	
CES1000000002    	2008	M03	        44.1	
CES1000000002    	2008	M04	        43.7	
CES1000000002    	2008	M05	        43.7	
CES1000000002    	2008	M06	        43.5	
CES1000000002    	2008	M07	        43.6	
CES1000000002    	2008	M08	        43.7	
CES1000000002    	2008	M09	        43.3	
CES1000000002    	2008	M10	        43.9	
CES1000000002    	2008	M11	        43.9	
CES1000000002    	2008	M12	        43.5	
CES1000000002    	2009	M01	        43.2	
CES1000000002    	2009	M02	        42.6	
CES1000000002    	2009	M03	        41.8	
CES1000000002    	2009	M04	        41.9	
CES1000000002    	2009	M05	        41.8	
CES1000000002    	2009	M06	        41.8	
CES1000000002    	2009	M07	        42.0	
CES1000000002    	2009	M08	        42.0	
CES1000000002    	2009	M09	        42.2	
CES1000000002    	2009	M10	        41.6	
CES1000000002    	2009	M11	        42.4	
CES1000000002    	2009	M12	        42.5	
CES1000000002    	2010	M01	        43.3	
CES1000000002    	2010	M02	        43.0	
CES1000000002    	2010	M03	        43.3	
CES1000000002    	2010	M04	        43.5	
CES1000000002    	2010	M05	        43.5	
CES1000000002    	2010	M06	        43.3	
CES1000000002    	2010	M07	        43.7	
CES1000000002    	2010	M08	        43.7	
CES1000000002    	2010	M09	        43.3	
CES1000000002    	2010	M10	        43.5	
CES1000000002    	2010	M11	        43.6	
CES1000000002    	2010	M12	        43.8	
CES1000000002    	2011	M01	        43.7	
CES1000000002    	2011	M02	        44.1	
CES1000000002    	2011	M03	        44.4	
CES1000000002    	2011	M04	        44.4	
CES1000000002    	2011	M05	        44.4	
CES1000000002    	2011	M06	        45.0	
CES1000000002    	2011	M07	        44.4	
CES1000000002    	2011	M08	        44.7	
CES1000000002    	2011	M09	        44.9	
CES1000000002    	2011	M10	        44.8	
CES1000000002    	2011	M11	        44.5	
CES1000000002    	2011	M12	        44.3	
CES1000000002    	2012	M01	        44.7	
CES1000000002    	2012	M02	        44.6	
CES1000000002    	2012	M03	        44.2	
CES1000000002    	2012	M04	        43.7	
CES1000000002    	2012	M05	        43.9	
CES1000000002    	2012	M06	        44.5	
CES1000000002    	2012	M07	        43.8	
CES1000000002    	2012	M08	        43.5	
CES1000000002    	2012	M09	        43.3	
CES1000000002    	2012	M10	        43.3	
CES1000000002    	2012	M11	        43.2	
CES1000000002    	2012	M12	        43.2	
CES1000000002    	2013	M01	        42.7	
CES1000000002    	2013	M02	        43.4	
CES1000000002    	2013	M03	        43.4	
CES1000000002    	2013	M04	        43.8	
CES1000000002    	2013	M05	        44.2	
CES1000000002    	2013	M06	        44.1	
CES1000000002    	2013	M07	        44.3	
CES1000000002    	2013	M08	        44.1	
CES1000000002    	2013	M09	        44.2	
CES1000000002    	2013	M10	        44.1	
CES1000000002    	2013	M11	        44.9	
CES1000000002    	2013	M12	        44.5	
CES1000000002    	2014	M01	        44.4	
CES1000000002    	2014	M02	        44.8	
CES1000000002    	2014	M03	        45.1	
CES1000000002    	2014	M04	        45.0	
CES1000000002    	2014	M05	        44.6	
CES1000000002    	2014	M06	        45.0	
CES1000000002    	2014	M07	        44.7	
CES1000000002    	2014	M08	        44.9	
CES1000000002    	2014	M09	        44.8	
CES1000000002    	2014	M10	        44.7	
CES1000000002    	2014	M11	        44.6	
CES1000000002    	2014	M12	        45.1	
CES1000000002    	2015	M01	        44.8	
CES1000000002    	2015	M02	        44.4	
CES1000000002    	2015	M03	        44.0	
CES1000000002    	2015	M04	        43.8	
CES1000000002    	2015	M05	        43.6	
CES1000000002    	2015	M06	        43.7	
CES1000000002    	2015	M07	        43.9	
CES1000000002    	2015	M08	        43.6	
CES1000000002    	2015	M09	        43.9	
CES1000000002    	2015	M10	        43.8	
CES1000000002    	2015	M11	        43.9	
CES1000000002    	2015	M12	        44.2	
CES1000000002    	2016	M01	        43.7	
CES1000000002    	2016	M02	        43.3	
CES1000000002    	2016	M03	        42.8	
CES1000000002    	2016	M04	        43.0	
CES1000000002    	2016	M05	        43.1	
CES1000000002    	2016	M06	        43.0	
CES1000000002    	2016	M07	        43.2	
CES1000000002    	2016	M08	        43.6	
CES1000000002    	2016	M09	        43.7	
CES1000000002    	2016	M10	        44.0	
CES1000000002    	2016	M11	        43.9	
CES1000000002    	2016	M12	        43.7	
CES1000000002    	2017	M01	        43.9	
CES1000000002    	2017	M02	        44.6	
CES1000000002    	2017	M03	        45.2	
CES1000000002    	2017	M04	        45.4	
CES1000000002    	2017	M05	        45.5	
CES1000000002    	2017	M06	        45.1	
CES1000000002    	2017	M07	        45.6	
CES1000000002    	2017	M08	        44.9	
CES1000000002    	2017	M09	        45.3	
CES1000000002    	2017	M10	        45.5	
CES1000000002    	2017	M11	        45.6	
CES1000000002    	2017	M12	        45.6	
CES1000000002    	2018	M01	        45.1	
CES1000000002    	2018	M02	        46.1	
CES1000000002    	2018	M03	        45.8	
CES1000000002    	2018	M04	        45.7	
CES1000000002    	2018	M05	        46.2	
CES1000000002    	2018	M06	        46.5	
CES1000000002    	2018	M07	        45.9	
CES1000000002    	2018	M08	        46.0	
CES1000000002    	2018	M09	        45.9	
CES1000000002    	2018	M10	        45.9	
CES1000000002    	2018	M11	        45.9	
CES1000000002    	2018	M12	        46.1	
CES1000000002    	2019	M01	        46.2	
CES1000000002    	2019	M02	        46.3	
CES1000000002    	2019	M03	        46.4	
CES1000000002    	2019	M04	        46.6	
CES1000000002    	2019	M05	        46.5	
CES1000000002    	2019	M06	        46.4	
CES1000000002    	2019	M07	        46.3	
CES1000000002    	2019	M08	        46.2	
CES1000000002    	2019	M09	        46.2	
CES1000000002    	2019	M10	        46.2	
CES1000000002    	2019	M11	        45.7	
CES1000000002    	2019	M12	        45.7	
CES1000000002    	2020	M01	        45.5	
CES1000000002    	2020	M02	        45.4	
CES1000000002    	2020	M03	        45.0	
CES1000000002    	2020	M04	        42.9	
CES1000000002    	2020	M05	        43.1	
CES1000000002    	2020	M06	        43.5	
CES1000000002    	2020	M07	        43.9	
CES1000000002    	2020	M08	        44.3	
CES1000000002    	2020	M09	        44.1	
CES1000000002    	2020	M10	        44.8	
CES1000000002    	2020	M11	        45.0	
CES1000000002    	2020	M12	        45.1	
CES1000000002    	2021	M01	        45.4	
CES1000000002    	2021	M02	        44.7	
CES1000000002    	2021	M03	        45.4	
CES1000000002    	2021	M04	        45.4	
CES1000000002    	2021	M05	        45.1	
CES1000000002    	2021	M06	        45.2	
CES1000000002    	2021	M07	        45.0	
CES1000000002    	2021	M08	        44.8	
CES1000000002    	2021	M09	        45.3	
CES1000000002    	2021	M10	        44.8	
CES1000000002    	2021	M11	        45.2	
CES1000000002    	2021	M12	        45.3	
CES1000000002    	2022	M01	        43.9	
CES1000000002    	2022	M02	        45.4	
CES1000000002    	2022	M03	        45.8	
CES1000000002    	2022	M04	        45.6	
CES1000000002    	2022	M05	        45.9	
CES1000000002    	2022	M06	        46.4	
CES1000000002    	2022	M07	        46.3	
CES1000000002    	2022	M08	        46.3	
CES1000000002    	2022	M09	        46.4	
CES1000000002    	2022	M10	        46.4	
CES1000000002    	2022	M11	        46.4	
CES1000000002    	2022	M12	        45.7	
CES1000000002    	2023	M01	        45.7	
CES1000000002    	2023	M02	        45.8	
CES1000000002    	2023	M03	        45.7	
CES1000000002    	2023	M04	        45.5	
CES1000000002    	2023	M05	        45.7	
CES1000000002    	2023	M06	        45.7	
CES1000000002    	2023	M07	        44.1	
CES1000000002    	2023	M08	        45.3	
CES1000000002    	2023	M09	        45.0	
CES1000000002    	2023	M10	        44.8	
CES1000000002    	2023	M11	        45.2	
CES1000000002    	2023	M12	        45.5	
CES1000000002    	2024	M01	        44.6	
CES1000000002    	2024	M02	        45.0	
CES1000000002    	2024	M03	        45.3	
CES1000000002    	2024	M04	        44.5	
CES1000000002    	2024	M05	        44.5	
CES1000000002    	2024	M06	        44.5	P
CES1000000002    	2024	M07	        44.3	P
CES1000000003    	2006	M03	       22.78	
CES1000000003    	2006	M04	       23.34	
CES1000000003    	2006	M05	       23.39	
CES1000000003    	2006	M06	       23.65	
CES1000000003    	2006	M07	       23.75	
CES1000000003    	2006	M08	       23.72	
CES1000000003    	2006	M09	       23.91	
CES1000000003    	2006	M10	       24.18	
CES1000000003    	2006	M11	       25.00	
CES1000000003    	2006	M12	       24.63	
CES1000000003    	2007	M01	       24.78	
