series_id        	year	period	       value	footnote_codes
CES3000000007    	1939	M01	        37.1	
CES3000000007    	1939	M02	        37.2	
CES3000000007    	1939	M03	        37.3	
CES3000000007    	1939	M04	        37.3	
CES3000000007    	1939	M05	        37.0	
CES3000000007    	1939	M06	        37.4	
CES3000000007    	1939	M07	        37.3	
CES3000000007    	1939	M08	        38.1	
CES3000000007    	1939	M09	        38.1	
CES3000000007    	1939	M10	        39.1	
CES3000000007    	1939	M11	        38.5	
CES3000000007    	1939	M12	        38.4	
CES3000000007    	1940	M01	        37.9	
CES3000000007    	1940	M02	        37.3	
CES3000000007    	1940	M03	        37.4	
CES3000000007    	1940	M04	        37.4	
CES3000000007    	1940	M05	        37.5	
CES3000000007    	1940	M06	        37.6	
CES3000000007    	1940	M07	        38.0	
CES3000000007    	1940	M08	        38.4	
CES3000000007    	1940	M09	        39.0	
CES3000000007    	1940	M10	        39.3	
CES3000000007    	1940	M11	        38.6	
CES3000000007    	1940	M12	        39.6	
CES3000000007    	1941	M01	        39.4	
CES3000000007    	1941	M02	        40.1	
CES3000000007    	1941	M03	        40.4	
CES3000000007    	1941	M04	        40.5	
CES3000000007    	1941	M05	        40.8	
CES3000000007    	1941	M06	        41.4	
CES3000000007    	1941	M07	        41.1	
CES3000000007    	1941	M08	        41.2	
CES3000000007    	1941	M09	        41.3	
CES3000000007    	1941	M10	        41.2	
CES3000000007    	1941	M11	        40.4	
CES3000000007    	1941	M12	        40.9	
CES3000000007    	1942	M01	        42.1	
CES3000000007    	1942	M02	        42.4	
CES3000000007    	1942	M03	        42.7	
CES3000000007    	1942	M04	        42.8	
CES3000000007    	1942	M05	        43.1	
CES3000000007    	1942	M06	        43.0	
CES3000000007    	1942	M07	        43.5	
CES3000000007    	1942	M08	        43.3	
CES3000000007    	1942	M09	        43.2	
CES3000000007    	1942	M10	        43.7	
CES3000000007    	1942	M11	        44.2	
CES3000000007    	1942	M12	        44.2	
CES3000000007    	1943	M01	        44.6	
CES3000000007    	1943	M02	        44.5	
CES3000000007    	1943	M03	        44.7	
CES3000000007    	1943	M04	        45.1	
CES3000000007    	1943	M05	        45.4	
CES3000000007    	1943	M06	        45.3	
CES3000000007    	1943	M07	        45.4	
CES3000000007    	1943	M08	        45.4	
CES3000000007    	1943	M09	        45.6	
CES3000000007    	1943	M10	        45.6	
CES3000000007    	1943	M11	        45.7	
CES3000000007    	1943	M12	        44.6	
CES3000000007    	1944	M01	        45.4	
CES3000000007    	1944	M02	        45.4	
CES3000000007    	1944	M03	        45.2	
CES3000000007    	1944	M04	        45.2	
CES3000000007    	1944	M05	        45.3	
CES3000000007    	1944	M06	        45.5	
CES3000000007    	1944	M07	        45.4	
CES3000000007    	1944	M08	        45.4	
CES3000000007    	1944	M09	        45.2	
CES3000000007    	1944	M10	        45.6	
CES3000000007    	1944	M11	        45.4	
CES3000000007    	1944	M12	        45.4	
CES3000000007    	1945	M01	        45.5	
CES3000000007    	1945	M02	        45.5	
CES3000000007    	1945	M03	        45.3	
CES3000000007    	1945	M04	        45.0	
CES3000000007    	1945	M05	        44.3	
CES3000000007    	1945	M06	        44.8	
CES3000000007    	1945	M07	        44.7	
CES3000000007    	1945	M08	        40.9	
CES3000000007    	1945	M09	        41.5	
CES3000000007    	1945	M10	        41.5	
CES3000000007    	1945	M11	        41.2	
CES3000000007    	1945	M12	        41.1	
CES3000000007    	1946	M01	        40.9	
CES3000000007    	1946	M02	        40.4	
CES3000000007    	1946	M03	        40.6	
CES3000000007    	1946	M04	        40.4	
CES3000000007    	1946	M05	        39.8	
CES3000000007    	1946	M06	        40.0	
CES3000000007    	1946	M07	        40.2	
CES3000000007    	1946	M08	        40.6	
CES3000000007    	1946	M09	        40.4	
CES3000000007    	1946	M10	        40.4	
CES3000000007    	1946	M11	        40.3	
CES3000000007    	1946	M12	        40.5	
CES3000000007    	1947	M01	        40.5	
CES3000000007    	1947	M02	        40.4	
CES3000000007    	1947	M03	        40.3	
CES3000000007    	1947	M04	        40.5	
CES3000000007    	1947	M05	        40.4	
CES3000000007    	1947	M06	        40.4	
CES3000000007    	1947	M07	        40.4	
CES3000000007    	1947	M08	        40.0	
CES3000000007    	1947	M09	        40.5	
CES3000000007    	1947	M10	        40.5	
CES3000000007    	1947	M11	        40.5	
CES3000000007    	1947	M12	        40.8	
CES3000000007    	1948	M01	        40.5	
CES3000000007    	1948	M02	        40.2	
CES3000000007    	1948	M03	        40.4	
