series_id        	year	period	       value	footnote_codes
CES4000000001    	1939	M01	        6627	
CES4000000001    	1939	M02	        6643	
CES4000000001    	1939	M03	        6625	
CES4000000001    	1939	M04	        6634	
CES4000000001    	1939	M05	        6686	
CES4000000001    	1939	M06	        6706	
CES4000000001    	1939	M07	        6731	
CES4000000001    	1939	M08	        6740	
CES4000000001    	1939	M09	        6793	
CES4000000001    	1939	M10	        6858	
CES4000000001    	1939	M11	        6855	
CES4000000001    	1939	M12	        6851	
CES4000000001    	1940	M01	        6916	
CES4000000001    	1940	M02	        6943	
CES4000000001    	1940	M03	        6992	
CES4000000001    	1940	M04	        6896	
CES4000000001    	1940	M05	        6996	
CES4000000001    	1940	M06	        7016	
CES4000000001    	1940	M07	        7017	
CES4000000001    	1940	M08	        7049	
CES4000000001    	1940	M09	        7101	
CES4000000001    	1940	M10	        7121	
CES4000000001    	1940	M11	        7147	
CES4000000001    	1940	M12	        7208	
CES4000000001    	1941	M01	        7223	
CES4000000001    	1941	M02	        7275	
CES4000000001    	1941	M03	        7299	
CES4000000001    	1941	M04	        7439	
CES4000000001    	1941	M05	        7493	
CES4000000001    	1941	M06	        7563	
CES4000000001    	1941	M07	        7639	
CES4000000001    	1941	M08	        7711	
CES4000000001    	1941	M09	        7722	
CES4000000001    	1941	M10	        7715	
CES4000000001    	1941	M11	        7710	
CES4000000001    	1941	M12	        7694	
CES4000000001    	1942	M01	        7689	
CES4000000001    	1942	M02	        7664	
CES4000000001    	1942	M03	        7631	
CES4000000001    	1942	M04	        7591	
CES4000000001    	1942	M05	        7625	
CES4000000001    	1942	M06	        7559	
CES4000000001    	1942	M07	        7549	
CES4000000001    	1942	M08	        7563	
CES4000000001    	1942	M09	        7570	
CES4000000001    	1942	M10	        7597	
CES4000000001    	1942	M11	        7580	
CES4000000001    	1942	M12	        7565	
CES4000000001    	1943	M01	        7571	
CES4000000001    	1943	M02	        7564	
CES4000000001    	1943	M03	        7572	
CES4000000001    	1943	M04	        7612	
CES4000000001    	1943	M05	        7601	
CES4000000001    	1943	M06	        7640	
CES4000000001    	1943	M07	        7653	
CES4000000001    	1943	M08	        7637	
CES4000000001    	1943	M09	        7635	
CES4000000001    	1943	M10	        7652	
CES4000000001    	1943	M11	        7685	
CES4000000001    	1943	M12	        7612	
CES4000000001    	1944	M01	        7710	
CES4000000001    	1944	M02	        7741	
CES4000000001    	1944	M03	        7754	
CES4000000001    	1944	M04	        7770	
CES4000000001    	1944	M05	        7788	
CES4000000001    	1944	M06	        7796	
CES4000000001    	1944	M07	        7817	
CES4000000001    	1944	M08	        7830	
CES4000000001    	1944	M09	        7836	
CES4000000001    	1944	M10	        7846	
CES4000000001    	1944	M11	        7850	
CES4000000001    	1944	M12	        7799	
CES4000000001    	1945	M01	        7890	
CES4000000001    	1945	M02	        7923	
CES4000000001    	1945	M03	        7966	
CES4000000001    	1945	M04	        7908	
