series_id        ,year,period,       value,footnote_codes
CES0500000002    ,2006,M03,34.2,
CES0500000002    ,2006,M04,34.3,
CES0500000002    ,2006,M05,34.3,
CES0500000002    ,2006,M06,34.4,
CES0500000002    ,2006,M07,34.3,
CES0500000002    ,2006,M08,34.3,
CES0500000002    ,2006,M09,34.4,
CES0500000002    ,2006,M10,34.3,
CES0500000002    ,2006,M11,34.3,
CES0500000002    ,2006,M12,34.5,
CES0500000002    ,2007,M01,34.3,
CES0500000002    ,2007,M02,34.3,
CES0500000002    ,2007,M03,34.4,
CES0500000002    ,2007,M04,34.4,
CES0500000002    ,2007,M05,34.4,
CES0500000002    ,2007,M06,34.5,
CES0500000002    ,2007,M07,34.4,
CES0500000002    ,2007,M08,34.4,
CES0500000002    ,2007,M09,34.4,
CES0500000002    ,2007,M10,34.3,
CES0500000002    ,2007,M11,34.4,
CES0500000002    ,2007,M12,34.4,
CES0500000002    ,2008,M01,34.4,
CES0500000002    ,2008,M02,34.3,
CES0500000002    ,2008,M03,34.4,
CES0500000002    ,2008,M04,34.4,
CES0500000002    ,2008,M05,34.4,
CES0500000002    ,2008,M06,34.4,
CES0500000002    ,2008,M07,34.3,
CES0500000002    ,2008,M08,34.3,
CES0500000002    ,2008,M09,34.2,
CES0500000002    ,2008,M10,34.3,
CES0500000002    ,2008,M11,34.1,
CES0500000002    ,2008,M12,33.9,
CES0500000002    ,2009,M01,34.0,
CES0500000002    ,2009,M02,34.0,
CES0500000002    ,2009,M03,33.8,
CES0500000002    ,2009,M04,33.8,
CES0500000002    ,2009,M05,33.8,
CES0500000002    ,2009,M06,33.7,
CES0500000002    ,2009,M07,33.8,
CES0500000002    ,2009,M08,33.8,
CES0500000002    ,2009,M09,33.9,
CES0500000002    ,2009,M10,33.8,
CES0500000002    ,2009,M11,33.9,
CES0500000002    ,2009,M12,33.9,
CES0500000002    ,2010,M01,34.0,
CES0500000002    ,2010,M02,33.8,
CES0500000002    ,2010,M03,34.0,
CES0500000002    ,2010,M04,34.1,
CES0500000002    ,2010,M05,34.1,
CES0500000002    ,2010,M06,34.1,
CES0500000002    ,2010,M07,34.2,
CES0500000002    ,2010,M08,34.2,
CES0500000002    ,2010,M09,34.3,
CES0500000002    ,2010,M10,34.3,
CES0500000002    ,2010,M11,34.3,
CES0500000002    ,2010,M12,34.3,
CES0500000002    ,2011,M01,34.2,
CES0500000002    ,2011,M02,34.3,
CES0500000002    ,2011,M03,34.3,
CES0500000002    ,2011,M04,34.4,
CES0500000002    ,2011,M05,34.4,
CES0500000002    ,2011,M06,34.4,
CES0500000002    ,2011,M07,34.4,
CES0500000002    ,2011,M08,34.3,
CES0500000002    ,2011,M09,34.4,
CES0500000002    ,2011,M10,34.5,
CES0500000002    ,2011,M11,34.4,
CES0500000002    ,2011,M12,34.4,
CES0500000002    ,2012,M01,34.5,
CES0500000002    ,2012,M02,34.5,
CES0500000002    ,2012,M03,34.5,
CES0500000002    ,2012,M04,34.4,
CES0500000002    ,2012,M05,34.4,
CES0500000002    ,2012,M06,34.4,
CES0500000002    ,2012,M07,34.4,
CES0500000002    ,2012,M08,34.4,
CES0500000002    ,2012,M09,34.4,
CES0500000002    ,2012,M10,34.3,
CES0500000002    ,2012,M11,34.4,
CES0500000002    ,2012,M12,34.4,
CES0500000002    ,2013,M01,34.4,
CES0500000002    ,2013,M02,34.5,
CES0500000002    ,2013,M03,34.5,
CES0500000002    ,2013,M04,34.4,
CES0500000002    ,2013,M05,34.5,
CES0500000002    ,2013,M06,34.5,
CES0500000002    ,2013,M07,34.4,
CES0500000002    ,2013,M08,34.5,
CES0500000002    ,2013,M09,34.4,
CES0500000002    ,2013,M10,34.4,
CES0500000002    ,2013,M11,34.4,
CES0500000002    ,2013,M12,34.3,
CES0500000002    ,2014,M01,34.4,
CES0500000002    ,2014,M02,34.3,
CES0500000002    ,2014,M03,34.5,
CES0500000002    ,2014,M04,34.5,
CES0500000002    ,2014,M05,34.5,
CES0500000002    ,2014,M06,34.5,
CES0500000002    ,2014,M07,34.5,
CES0500000002    ,2014,M08,34.6,
CES0500000002    ,2014,M09,34.5,
CES0500000002    ,2014,M10,34.5,
CES0500000002    ,2014,M11,34.6,
CES0500000002    ,2014,M12,34.6,
CES0500000002    ,2015,M01,34.5,
CES0500000002    ,2015,M02,34.6,
CES0500000002    ,2015,M03,34.5,
CES0500000002    ,2015,M04,34.5,
CES0500000002    ,2015,M05,34.5,
CES0500000002    ,2015,M06,34.5,
CES0500000002    ,2015,M07,34.5,
CES0500000002    ,2015,M08,34.6,
CES0500000002    ,2015,M09,34.5,
CES0500000002    ,2015,M10,34.5,
CES0500000002    ,2015,M11,34.5,
CES0500000002    ,2015,M12,34.5,
CES0500000002    ,2016,M01,34.6,
CES0500000002    ,2016,M02,34.4,
CES0500000002    ,2016,M03,34.4,
CES0500000002    ,2016,M04,34.4,
CES0500000002    ,2016,M05,34.4,
CES0500000002    ,2016,M06,34.4,
CES0500000002    ,2016,M07,34.4,
CES0500000002    ,2016,M08,34.3,
CES0500000002    ,2016,M09,34.4,
CES0500000002    ,2016,M10,34.4,
CES0500000002    ,2016,M11,34.3,
CES0500000002    ,2016,M12,34.4,
CES0500000002    ,2017,M01,34.4,
CES0500000002    ,2017,M02,34.3,
CES0500000002    ,2017,M03,34.3,
CES0500000002    ,2017,M04,34.4,
CES0500000002    ,2017,M05,34.4,
CES0500000002    ,2017,M06,34.4,
CES0500000002    ,2017,M07,34.4,
CES0500000002    ,2017,M08,34.4,
CES0500000002    ,2017,M09,34.3,
CES0500000002    ,2017,M10,34.4,
CES0500000002    ,2017,M11,34.5,
CES0500000002    ,2017,M12,34.4,
CES0500000002    ,2018,M01,34.4,
CES0500000002    ,2018,M02,34.5,
CES0500000002    ,2018,M03,34.5,
CES0500000002    ,2018,M04,34.5,
CES0500000002    ,2018,M05,34.5,
CES0500000002    ,2018,M06,34.6,
CES0500000002    ,2018,M07,34.5,
CES0500000002    ,2018,M08,34.5,
CES0500000002    ,2018,M09,34.4,
CES0500000002    ,2018,M10,34.5,
CES0500000002    ,2018,M11,34.4,
CES0500000002    ,2018,M12,34.5,
CES0500000002    ,2019,M01,34.5,
CES0500000002    ,2019,M02,34.4,
CES0500000002    ,2019,M03,34.5,
CES0500000002    ,2019,M04,34.4,
CES0500000002    ,2019,M05,34.4,
CES0500000002    ,2019,M06,34.4,
CES0500000002    ,2019,M07,34.4,
CES0500000002    ,2019,M08,34.4,
CES0500000002    ,2019,M09,34.4,
CES0500000002    ,2019,M10,34.3,
CES0500000002    ,2019,M11,34.3,
CES0500000002    ,2019,M12,34.3,
CES0500000002    ,2020,M01,34.3,
CES0500000002    ,2020,M02,34.3,
CES0500000002    ,2020,M03,34.0,
CES0500000002    ,2020,M04,34.2,
CES0500000002    ,2020,M05,34.7,
CES0500000002    ,2020,M06,34.6,
CES0500000002    ,2020,M07,34.6,
CES0500000002    ,2020,M08,34.7,
CES0500000002    ,2020,M09,34.8,
CES0500000002    ,2020,M10,34.9,
CES0500000002    ,2020,M11,34.8,
CES0500000002    ,2020,M12,34.8,
CES0500000002    ,2021,M01,34.9,
CES0500000002    ,2021,M02,34.6,
CES0500000002    ,2021,M03,35.0,
CES0500000002    ,2021,M04,35.0,
CES0500000002    ,2021,M05,34.9,
CES0500000002    ,2021,M06,34.8,
CES0500000002    ,2021,M07,34.9,
CES0500000002    ,2021,M08,34.7,
CES0500000002    ,2021,M09,34.8,
CES0500000002    ,2021,M10,34.7,
CES0500000002    ,2021,M11,34.8,
CES0500000002    ,2021,M12,34.8,
CES0500000002    ,2022,M01,34.5,
CES0500000002    ,2022,M02,34.7,
CES0500000002    ,2022,M03,34.7,
CES0500000002    ,2022,M04,34.7,
CES0500000002    ,2022,M05,34.6,
CES0500000002    ,2022,M06,34.6,
CES0500000002    ,2022,M07,34.6,
CES0500000002    ,2022,M08,34.5,
CES0500000002    ,2022,M09,34.6,
CES0500000002    ,2022,M10,34.6,
CES0500000002    ,2022,M11,34.5,
CES0500000002    ,2022,M12,34.4,
CES0500000002    ,2023,M01,34.6,
CES0500000002    ,2023,M02,34.5,
CES0500000002    ,2023,M03,34.4,
CES0500000002    ,2023,M04,34.3,
CES0500000002    ,2023,M05,34.4,
CES0500000002    ,2023,M06,34.4,
CES0500000002    ,2023,M07,34.3,
CES0500000002    ,2023,M08,34.4,
CES0500000002    ,2023,M09,34.4,
CES0500000002    ,2023,M10,34.3,
CES0500000002    ,2023,M11,34.4,
CES0500000002    ,2023,M12,34.4,
CES0500000002    ,2024,M01,34.2,
CES0500000002    ,2024,M02,34.3,
CES0500000002    ,2024,M03,34.4,
CES0500000002    ,2024,M04,34.3,
CES0500000002    ,2024,M05,34.3,
CES0500000002    ,2024,M06,34.3,P
CES0500000002    ,2024,M07,34.2,P
CES0500000003    ,2006,M03,20.05,
CES0500000003    ,2006,M04,20.15,
CES0500000003    ,2006,M05,20.13,
CES0500000003    ,2006,M06,20.23,
CES0500000003    ,2006,M07,20.29,
CES0500000003    ,2006,M08,20.32,
CES0500000003    ,2006,M09,20.41,
CES0500000003    ,2006,M10,20.43,
CES0500000003    ,2006,M11,20.49,
CES0500000003    ,2006,M12,20.57,
CES0500000003    ,2007,M01,20.59,
CES0500000003    ,2007,M02,20.68,
