series_id        ,year,period,       value,footnote_codes
CES1000000001    ,1939,M01,882.0,
CES1000000001    ,1939,M02,884.0,
CES1000000001    ,1939,M03,883.0,
CES1000000001    ,1939,M04,624.0,
CES1000000001    ,1939,M05,737.0,
CES1000000001    ,1939,M06,868.0,
CES1000000001    ,1939,M07,852.0,
CES1000000001    ,1939,M08,859.0,
CES1000000001    ,1939,M09,885.0,
CES1000000001    ,1939,M10,925.0,
CES1000000001    ,1939,M11,939.0,
CES1000000001    ,1939,M12,930.0,
CES1000000001    ,1940,M01,925.0,
CES1000000001    ,1940,M02,929.0,
CES1000000001    ,1940,M03,926.0,
CES1000000001    ,1940,M04,920.0,
CES1000000001    ,1940,M05,930.0,
CES1000000001    ,1940,M06,918.0,
CES1000000001    ,1940,M07,920.0,
CES1000000001    ,1940,M08,923.0,
CES1000000001    ,1940,M09,928.0,
CES1000000001    ,1940,M10,932.0,
CES1000000001    ,1940,M11,936.0,
CES1000000001    ,1940,M12,939.0,
CES1000000001    ,1941,M01,945.0,
CES1000000001    ,1941,M02,951.0,
CES1000000001    ,1941,M03,961.0,
CES1000000001    ,1941,M04,681.0,
CES1000000001    ,1941,M05,979.0,
CES1000000001    ,1941,M06,990.0,
CES1000000001    ,1941,M07,1001.0,
CES1000000001    ,1941,M08,1013.0,
CES1000000001    ,1941,M09,1020.0,
CES1000000001    ,1941,M10,1022.0,
CES1000000001    ,1941,M11,1021.0,
CES1000000001    ,1941,M12,1024.0,
CES1000000001    ,1942,M01,1029.0,
CES1000000001    ,1942,M02,1021.0,
CES1000000001    ,1942,M03,1014.0,
CES1000000001    ,1942,M04,1022.0,
CES1000000001    ,1942,M05,1025.0,
CES1000000001    ,1942,M06,1019.0,
CES1000000001    ,1942,M07,1018.0,
CES1000000001    ,1942,M08,1011.0,
CES1000000001    ,1942,M09,1002.0,
CES1000000001    ,1942,M10,994.0,
CES1000000001    ,1942,M11,989.0,
CES1000000001    ,1942,M12,984.0,
CES1000000001    ,1943,M01,974.0,
CES1000000001    ,1943,M02,978.0,
CES1000000001    ,1943,M03,973.0,
CES1000000001    ,1943,M04,968.0,
CES1000000001    ,1943,M05,958.0,
CES1000000001    ,1943,M06,957.0,
CES1000000001    ,1943,M07,954.0,
CES1000000001    ,1943,M08,947.0,
CES1000000001    ,1943,M09,950.0,
CES1000000001    ,1943,M10,950.0,
CES1000000001    ,1943,M11,943.0,
CES1000000001    ,1943,M12,950.0,
CES1000000001    ,1944,M01,947.0,
CES1000000001    ,1944,M02,948.0,
CES1000000001    ,1944,M03,942.0,
CES1000000001    ,1944,M04,940.0,
CES1000000001    ,1944,M05,938.0,
CES1000000001    ,1944,M06,934.0,
CES1000000001    ,1944,M07,925.0,
CES1000000001    ,1944,M08,922.0,
CES1000000001    ,1944,M09,914.0,
CES1000000001    ,1944,M10,906.0,
CES1000000001    ,1944,M11,901.0,
CES1000000001    ,1944,M12,894.0,
CES1000000001    ,1945,M01,893.0,
CES1000000001    ,1945,M02,892.0,
CES1000000001    ,1945,M03,890.0,
CES1000000001    ,1945,M04,855.0,
CES1000000001    ,1945,M05,820.0,
CES1000000001    ,1945,M06,878.0,
CES1000000001    ,1945,M07,868.0,
CES1000000001    ,1945,M08,863.0,
CES1000000001    ,1945,M09,857.0,
CES1000000001    ,1945,M10,795.0,
CES1000000001    ,1945,M11,871.0,
CES1000000001    ,1945,M12,880.0,
CES1000000001    ,1946,M01,891.0,
CES1000000001    ,1946,M02,885.0,
CES1000000001    ,1946,M03,891.0,
CES1000000001    ,1946,M04,600.0,
CES1000000001    ,1946,M05,807.0,
CES1000000001    ,1946,M06,911.0,
CES1000000001    ,1946,M07,929.0,
CES1000000001    ,1946,M08,939.0,
CES1000000001    ,1946,M09,941.0,
CES1000000001    ,1946,M10,945.0,
CES1000000001    ,1946,M11,946.0,
CES1000000001    ,1946,M12,932.0,
CES1000000001    ,1947,M01,958.0,
CES1000000001    ,1947,M02,962.0,
CES1000000001    ,1947,M03,965.0,
CES1000000001    ,1947,M04,946.0,
CES1000000001    ,1947,M05,972.0,
CES1000000001    ,1947,M06,977.0,
CES1000000001    ,1947,M07,953.0,
CES1000000001    ,1947,M08,985.0,
CES1000000001    ,1947,M09,989.0,
CES1000000001    ,1947,M10,997.0,
CES1000000001    ,1947,M11,1002.0,
CES1000000001    ,1947,M12,1005.0,
CES1000000001    ,1948,M01,1008.0,
CES1000000001    ,1948,M02,1003.0,
CES1000000001    ,1948,M03,1017.0,
CES1000000001    ,1948,M04,917.0,
CES1000000001    ,1948,M05,1028.0,
CES1000000001    ,1948,M06,1035.0,
CES1000000001    ,1948,M07,1006.0,
CES1000000001    ,1948,M08,1033.0,
CES1000000001    ,1948,M09,1036.0,
CES1000000001    ,1948,M10,1030.0,
CES1000000001    ,1948,M11,1027.0,
CES1000000001    ,1948,M12,1025.0,
CES1000000001    ,1949,M01,1011.0,
CES1000000001    ,1949,M02,1010.0,
CES1000000001    ,1949,M03,1003.0,
CES1000000001    ,1949,M04,1003.0,
CES1000000001    ,1949,M05,991.0,
CES1000000001    ,1949,M06,976.0,
CES1000000001    ,1949,M07,953.0,
CES1000000001    ,1949,M08,961.0,
CES1000000001    ,1949,M09,955.0,
CES1000000001    ,1949,M10,630.0,
CES1000000001    ,1949,M11,929.0,
CES1000000001    ,1949,M12,948.0,
CES1000000001    ,1950,M01,878.0,
CES1000000001    ,1950,M02,638.0,
CES1000000001    ,1950,M03,951.0,
CES1000000001    ,1950,M04,954.0,
CES1000000001    ,1950,M05,955.0,
CES1000000001    ,1950,M06,957.0,
CES1000000001    ,1950,M07,938.0,
CES1000000001    ,1950,M08,965.0,
CES1000000001    ,1950,M09,967.0,
CES1000000001    ,1950,M10,966.0,
CES1000000001    ,1950,M11,962.0,
CES1000000001    ,1950,M12,959.0,
CES1000000001    ,1951,M01,959.0,
CES1000000001    ,1951,M02,962.0,
CES1000000001    ,1951,M03,959.0,
CES1000000001    ,1951,M04,948.0,
CES1000000001    ,1951,M05,954.0,
CES1000000001    ,1951,M06,958.0,
CES1000000001    ,1951,M07,945.0,
CES1000000001    ,1951,M08,959.0,
CES1000000001    ,1951,M09,952.0,
CES1000000001    ,1951,M10,958.0,
CES1000000001    ,1951,M11,958.0,
CES1000000001    ,1951,M12,957.0,
CES1000000001    ,1952,M01,958.0,
CES1000000001    ,1952,M02,954.0,
CES1000000001    ,1952,M03,957.0,
CES1000000001    ,1952,M04,956.0,
CES1000000001    ,1952,M05,954.0,
CES1000000001    ,1952,M06,874.0,
CES1000000001    ,1952,M07,848.0,
CES1000000001    ,1952,M08,931.0,
CES1000000001    ,1952,M09,930.0,
CES1000000001    ,1952,M10,927.0,
CES1000000001    ,1952,M11,923.0,
CES1000000001    ,1952,M12,923.0,
CES1000000001    ,1953,M01,926.0,
CES1000000001    ,1953,M02,919.0,
CES1000000001    ,1953,M03,911.0,
CES1000000001    ,1953,M04,908.0,
CES1000000001    ,1953,M05,905.0,
CES1000000001    ,1953,M06,903.0,
CES1000000001    ,1953,M07,900.0,
CES1000000001    ,1953,M08,899.0,
CES1000000001    ,1953,M09,895.0,
CES1000000001    ,1953,M10,890.0,
CES1000000001    ,1953,M11,886.0,
CES1000000001    ,1953,M12,879.0,
CES1000000001    ,1954,M01,872.0,
CES1000000001    ,1954,M02,864.0,
CES1000000001    ,1954,M03,848.0,
CES1000000001    ,1954,M04,836.0,
CES1000000001    ,1954,M05,822.0,
CES1000000001    ,1954,M06,821.0,
CES1000000001    ,1954,M07,817.0,
CES1000000001    ,1954,M08,813.0,
CES1000000001    ,1954,M09,795.0,
CES1000000001    ,1954,M10,803.0,
CES1000000001    ,1954,M11,805.0,
CES1000000001    ,1954,M12,805.0,
CES1000000001    ,1955,M01,806.0,
CES1000000001    ,1955,M02,809.0,
CES1000000001    ,1955,M03,817.0,
CES1000000001    ,1955,M04,821.0,
CES1000000001    ,1955,M05,827.0,
