series_id        ,year,period,       value,footnote_codes
CES1000000007    ,1947,M01,43.8,
CES1000000007    ,1947,M02,43.3,
CES1000000007    ,1947,M03,43.4,
CES1000000007    ,1947,M04,40.7,
CES1000000007    ,1947,M05,43.8,
CES1000000007    ,1947,M06,44.4,
CES1000000007    ,1947,M07,39.5,
CES1000000007    ,1947,M08,41.8,
CES1000000007    ,1947,M09,42.2,
CES1000000007    ,1947,M10,42.0,
CES1000000007    ,1947,M11,41.5,
CES1000000007    ,1947,M12,41.6,
CES1000000007    ,1948,M01,41.4,
CES1000000007    ,1948,M02,41.6,
CES1000000007    ,1948,M03,42.2,
CES1000000007    ,1948,M04,37.5,
CES1000000007    ,1948,M05,42.2,
CES1000000007    ,1948,M06,42.3,
CES1000000007    ,1948,M07,39.4,
CES1000000007    ,1948,M08,42.3,
CES1000000007    ,1948,M09,41.7,
CES1000000007    ,1948,M10,41.4,
CES1000000007    ,1948,M11,40.4,
CES1000000007    ,1948,M12,40.5,
CES1000000007    ,1949,M01,40.4,
CES1000000007    ,1949,M02,40.1,
CES1000000007    ,1949,M03,39.3,
CES1000000007    ,1949,M04,40.8,
CES1000000007    ,1949,M05,40.6,
CES1000000007    ,1949,M06,37.0,
CES1000000007    ,1949,M07,36.1,
CES1000000007    ,1949,M08,35.2,
CES1000000007    ,1949,M09,36.2,
CES1000000007    ,1949,M10,41.1,
CES1000000007    ,1949,M11,38.7,
CES1000000007    ,1949,M12,33.6,
CES1000000007    ,1950,M01,34.2,
CES1000000007    ,1950,M02,38.2,
CES1000000007    ,1950,M03,41.6,
CES1000000007    ,1950,M04,40.6,
CES1000000007    ,1950,M05,39.4,
CES1000000007    ,1950,M06,39.7,
CES1000000007    ,1950,M07,40.7,
CES1000000007    ,1950,M08,40.3,
CES1000000007    ,1950,M09,40.4,
CES1000000007    ,1950,M10,40.5,
CES1000000007    ,1950,M11,40.4,
CES1000000007    ,1950,M12,40.4,
CES1000000007    ,1951,M01,40.3,
CES1000000007    ,1951,M02,39.4,
CES1000000007    ,1951,M03,38.9,
CES1000000007    ,1951,M04,39.8,
CES1000000007    ,1951,M05,39.8,
CES1000000007    ,1951,M06,40.1,
CES1000000007    ,1951,M07,40.4,
CES1000000007    ,1951,M08,40.2,
CES1000000007    ,1951,M09,40.8,
CES1000000007    ,1951,M10,40.7,
CES1000000007    ,1951,M11,40.8,
CES1000000007    ,1951,M12,41.0,
CES1000000007    ,1952,M01,41.2,
CES1000000007    ,1952,M02,40.9,
CES1000000007    ,1952,M03,40.9,
CES1000000007    ,1952,M04,39.4,
CES1000000007    ,1952,M05,39.9,
CES1000000007    ,1952,M06,38.6,
CES1000000007    ,1952,M07,38.9,
CES1000000007    ,1952,M08,41.0,
CES1000000007    ,1952,M09,42.4,
CES1000000007    ,1952,M10,39.6,
CES1000000007    ,1952,M11,41.5,
CES1000000007    ,1952,M12,40.8,
CES1000000007    ,1953,M01,40.0,
CES1000000007    ,1953,M02,40.0,
CES1000000007    ,1953,M03,40.3,
CES1000000007    ,1953,M04,40.4,
CES1000000007    ,1953,M05,41.1,
CES1000000007    ,1953,M06,41.5,
CES1000000007    ,1953,M07,41.3,
CES1000000007    ,1953,M08,41.7,
CES1000000007    ,1953,M09,41.0,
CES1000000007    ,1953,M10,40.9,
CES1000000007    ,1953,M11,40.1,
CES1000000007    ,1953,M12,39.6,
CES1000000007    ,1954,M01,39.6,
CES1000000007    ,1954,M02,39.9,
CES1000000007    ,1954,M03,39.4,
CES1000000007    ,1954,M04,39.8,
CES1000000007    ,1954,M05,39.9,
CES1000000007    ,1954,M06,40.5,
CES1000000007    ,1954,M07,40.3,
CES1000000007    ,1954,M08,40.7,
CES1000000007    ,1954,M09,40.7,
CES1000000007    ,1954,M10,40.8,
CES1000000007    ,1954,M11,41.6,
CES1000000007    ,1954,M12,41.5,
CES1000000007    ,1955,M01,42.0,
CES1000000007    ,1955,M02,42.3,
CES1000000007    ,1955,M03,42.4,
CES1000000007    ,1955,M04,42.6,
CES1000000007    ,1955,M05,42.7,
CES1000000007    ,1955,M06,42.4,
CES1000000007    ,1955,M07,42.7,
CES1000000007    ,1955,M08,42.2,
CES1000000007    ,1955,M09,41.9,
CES1000000007    ,1955,M10,42.2,
CES1000000007    ,1955,M11,42.1,
CES1000000007    ,1955,M12,42.4,
CES1000000007    ,1956,M01,42.6,
CES1000000007    ,1956,M02,42.4,
CES1000000007    ,1956,M03,42.6,
CES1000000007    ,1956,M04,42.7,
CES1000000007    ,1956,M05,42.4,
CES1000000007    ,1956,M06,41.9,
CES1000000007    ,1956,M07,42.3,
CES1000000007    ,1956,M08,41.7,
CES1000000007    ,1956,M09,42.4,
CES1000000007    ,1956,M10,42.2,
CES1000000007    ,1956,M11,42.0,
CES1000000007    ,1956,M12,42.3,
CES1000000007    ,1957,M01,42.0,
CES1000000007    ,1957,M02,42.4,
CES1000000007    ,1957,M03,42.3,
CES1000000007    ,1957,M04,42.1,
CES1000000007    ,1957,M05,41.5,
CES1000000007    ,1957,M06,41.9,
CES1000000007    ,1957,M07,41.8,
