series_id        ,year,period,       value,footnote_codes
CES2000000001    ,1939,M01,1139.0,
CES2000000001    ,1939,M02,1162.0,
CES2000000001    ,1939,M03,1225.0,
CES2000000001    ,1939,M04,1249.0,
CES2000000001    ,1939,M05,1262.0,
CES2000000001    ,1939,M06,1264.0,
CES2000000001    ,1939,M07,1221.0,
CES2000000001    ,1939,M08,1236.0,
CES2000000001    ,1939,M09,1203.0,
CES2000000001    ,1939,M10,1186.0,
CES2000000001    ,1939,M11,1172.0,
CES2000000001    ,1939,M12,1142.0,
CES2000000001    ,1940,M01,1121.0,
CES2000000001    ,1940,M02,1178.0,
CES2000000001    ,1940,M03,1214.0,
CES2000000001    ,1940,M04,1276.0,
CES2000000001    ,1940,M05,1298.0,
CES2000000001    ,1940,M06,1290.0,
CES2000000001    ,1940,M07,1272.0,
CES2000000001    ,1940,M08,1286.0,
CES2000000001    ,1940,M09,1379.0,
CES2000000001    ,1940,M10,1506.0,
CES2000000001    ,1940,M11,1627.0,
CES2000000001    ,1940,M12,1777.0,
CES2000000001    ,1941,M01,1833.0,
CES2000000001    ,1941,M02,1820.0,
CES2000000001    ,1941,M03,1739.0,
CES2000000001    ,1941,M04,1772.0,
CES2000000001    ,1941,M05,1784.0,
CES2000000001    ,1941,M06,1791.0,
CES2000000001    ,1941,M07,1881.0,
CES2000000001    ,1941,M08,1918.0,
CES2000000001    ,1941,M09,1939.0,
CES2000000001    ,1941,M10,1935.0,
CES2000000001    ,1941,M11,1915.0,
CES2000000001    ,1941,M12,1903.0,
CES2000000001    ,1942,M01,1914.0,
CES2000000001    ,1942,M02,1900.0,
CES2000000001    ,1942,M03,2042.0,
CES2000000001    ,1942,M04,2170.0,
CES2000000001    ,1942,M05,2271.0,
CES2000000001    ,1942,M06,2380.0,
CES2000000001    ,1942,M07,2494.0,
CES2000000001    ,1942,M08,2478.0,
CES2000000001    ,1942,M09,2433.0,
CES2000000001    ,1942,M10,2352.0,
CES2000000001    ,1942,M11,2260.0,
CES2000000001    ,1942,M12,2136.0,
CES2000000001    ,1943,M01,2064.0,
CES2000000001    ,1943,M02,2022.0,
CES2000000001    ,1943,M03,1954.0,
CES2000000001    ,1943,M04,1854.0,
CES2000000001    ,1943,M05,1737.0,
CES2000000001    ,1943,M06,1639.0,
CES2000000001    ,1943,M07,1516.0,
CES2000000001    ,1943,M08,1433.0,
CES2000000001    ,1943,M09,1357.0,
CES2000000001    ,1943,M10,1334.0,
CES2000000001    ,1943,M11,1320.0,
CES2000000001    ,1943,M12,1316.0,
CES2000000001    ,1944,M01,1323.0,
CES2000000001    ,1944,M02,1300.0,
CES2000000001    ,1944,M03,1237.0,
CES2000000001    ,1944,M04,1172.0,
CES2000000001    ,1944,M05,1149.0,
CES2000000001    ,1944,M06,1123.0,
CES2000000001    ,1944,M07,1103.0,
CES2000000001    ,1944,M08,1081.0,
CES2000000001    ,1944,M09,1036.0,
CES2000000001    ,1944,M10,1085.0,
CES2000000001    ,1944,M11,1095.0,
CES2000000001    ,1944,M12,1113.0,
CES2000000001    ,1945,M01,1143.0,
CES2000000001    ,1945,M02,1191.0,
CES2000000001    ,1945,M03,1179.0,
CES2000000001    ,1945,M04,1148.0,
CES2000000001    ,1945,M05,1138.0,
CES2000000001    ,1945,M06,1133.0,
CES2000000001    ,1945,M07,1144.0,
CES2000000001    ,1945,M08,1159.0,
CES2000000001    ,1945,M09,1143.0,
CES2000000001    ,1945,M10,1231.0,
CES2000000001    ,1945,M11,1291.0,
CES2000000001    ,1945,M12,1336.0,
CES2000000001    ,1946,M01,1421.0,
CES2000000001    ,1946,M02,1501.0,
CES2000000001    ,1946,M03,1581.0,
CES2000000001    ,1946,M04,1639.0,
CES2000000001    ,1946,M05,1679.0,
CES2000000001    ,1946,M06,1697.0,
CES2000000001    ,1946,M07,1761.0,
CES2000000001    ,1946,M08,1808.0,
CES2000000001    ,1946,M09,1836.0,
CES2000000001    ,1946,M10,1875.0,
CES2000000001    ,1946,M11,1901.0,
CES2000000001    ,1946,M12,1931.0,
