series_id        ,year,period,       value,footnote_codes
CES3000000001    ,1939,M01,9077.0,
CES3000000001    ,1939,M02,9175.0,
CES3000000001    ,1939,M03,9275.0,
CES3000000001    ,1939,M04,9309.0,
CES3000000001    ,1939,M05,9299.0,
CES3000000001    ,1939,M06,9315.0,
CES3000000001    ,1939,M07,9231.0,
CES3000000001    ,1939,M08,9400.0,
CES3000000001    ,1939,M09,9604.0,
CES3000000001    ,1939,M10,9873.0,
CES3000000001    ,1939,M11,9896.0,
CES3000000001    ,1939,M12,9949.0,
CES3000000001    ,1940,M01,9927.0,
CES3000000001    ,1940,M02,9916.0,
CES3000000001    ,1940,M03,9884.0,
CES3000000001    ,1940,M04,9817.0,
CES3000000001    ,1940,M05,9810.0,
CES3000000001    ,1940,M06,9832.0,
CES3000000001    ,1940,M07,9766.0,
CES3000000001    ,1940,M08,10048.0,
CES3000000001    ,1940,M09,10258.0,
CES3000000001    ,1940,M10,10471.0,
CES3000000001    ,1940,M11,10643.0,
CES3000000001    ,1940,M12,10847.0,
CES3000000001    ,1941,M01,10993.0,
CES3000000001    ,1941,M02,11211.0,
CES3000000001    ,1941,M03,11409.0,
CES3000000001    ,1941,M04,11698.0,
CES3000000001    ,1941,M05,11957.0,
CES3000000001    ,1941,M06,12204.0,
CES3000000001    ,1941,M07,12382.0,
CES3000000001    ,1941,M08,12532.0,
CES3000000001    ,1941,M09,12683.0,
CES3000000001    ,1941,M10,12770.0,
CES3000000001    ,1941,M11,12810.0,
CES3000000001    ,1941,M12,12876.0,
CES3000000001    ,1942,M01,12965.0,
CES3000000001    ,1942,M02,13127.0,
CES3000000001    ,1942,M03,13311.0,
CES3000000001    ,1942,M04,13509.0,
CES3000000001    ,1942,M05,13704.0,
CES3000000001    ,1942,M06,13842.0,
CES3000000001    ,1942,M07,14072.0,
CES3000000001    ,1942,M08,14339.0,
CES3000000001    ,1942,M09,14582.0,
CES3000000001    ,1942,M10,14772.0,
CES3000000001    ,1942,M11,14971.0,
CES3000000001    ,1942,M12,15288.0,
CES3000000001    ,1943,M01,15532.0,
CES3000000001    ,1943,M02,15685.0,
CES3000000001    ,1943,M03,15856.0,
CES3000000001    ,1943,M04,15961.0,
CES3000000001    ,1943,M05,16044.0,
CES3000000001    ,1943,M06,16204.0,
CES3000000001    ,1943,M07,16306.0,
CES3000000001    ,1943,M08,16369.0,
CES3000000001    ,1943,M09,16366.0,
CES3000000001    ,1943,M10,16512.0,
CES3000000001    ,1943,M11,16598.0,
CES3000000001    ,1943,M12,16526.0,
CES3000000001    ,1944,M01,16439.0,
CES3000000001    ,1944,M02,16330.0,
CES3000000001    ,1944,M03,16170.0,
CES3000000001    ,1944,M04,16012.0,
CES3000000001    ,1944,M05,15944.0,
CES3000000001    ,1944,M06,15890.0,
CES3000000001    ,1944,M07,15832.0,
CES3000000001    ,1944,M08,15781.0,
CES3000000001    ,1944,M09,15662.0,
CES3000000001    ,1944,M10,15630.0,
CES3000000001    ,1944,M11,15568.0,
CES3000000001    ,1944,M12,15659.0,
CES3000000001    ,1945,M01,15669.0,
CES3000000001    ,1945,M02,15581.0,
CES3000000001    ,1945,M03,15473.0,
CES3000000001    ,1945,M04,15335.0,
CES3000000001    ,1945,M05,15201.0,
CES3000000001    ,1945,M06,14948.0,
CES3000000001    ,1945,M07,14599.0,
CES3000000001    ,1945,M08,14201.0,
CES3000000001    ,1945,M09,12486.0,
CES3000000001    ,1945,M10,12487.0,
CES3000000001    ,1945,M11,12537.0,
CES3000000001    ,1945,M12,12528.0,
CES3000000001    ,1946,M01,12719.0,
CES3000000001    ,1946,M02,11922.0,
CES3000000001    ,1946,M03,12545.0,
CES3000000001    ,1946,M04,13200.0,
CES3000000001    ,1946,M05,13389.0,
CES3000000001    ,1946,M06,13598.0,
CES3000000001    ,1946,M07,13771.0,
CES3000000001    ,1946,M08,13981.0,
CES3000000001    ,1946,M09,14135.0,
CES3000000001    ,1946,M10,14182.0,
CES3000000001    ,1946,M11,14310.0,
CES3000000001    ,1946,M12,14301.0,
CES3000000001    ,1947,M01,14328.0,
CES3000000001    ,1947,M02,14278.0,
CES3000000001    ,1947,M03,14259.0,
CES3000000001    ,1947,M04,14240.0,
CES3000000001    ,1947,M05,14189.0,
CES3000000001    ,1947,M06,14200.0,
CES3000000001    ,1947,M07,14076.0,
CES3000000001    ,1947,M08,14200.0,
CES3000000001    ,1947,M09,14315.0,
CES3000000001    ,1947,M10,14393.0,
CES3000000001    ,1947,M11,14414.0,
CES3000000001    ,1947,M12,14428.0,
CES3000000001    ,1948,M01,14438.0,
CES3000000001    ,1948,M02,14339.0,
CES3000000001    ,1948,M03,14364.0,
CES3000000001    ,1948,M04,14183.0,
CES3000000001    ,1948,M05,14235.0,
CES3000000001    ,1948,M06,14318.0,
