series_id        ,year,period,       value,footnote_codes
CES3000000002    ,2006,M03,39.8,
CES3000000002    ,2006,M04,39.8,
CES3000000002    ,2006,M05,40.0,
CES3000000002    ,2006,M06,40.1,
CES3000000002    ,2006,M07,40.0,
CES3000000002    ,2006,M08,39.9,
CES3000000002    ,2006,M09,40.0,
CES3000000002    ,2006,M10,40.0,
CES3000000002    ,2006,M11,39.9,
CES3000000002    ,2006,M12,39.9,
CES3000000002    ,2007,M01,39.9,
CES3000000002    ,2007,M02,39.8,
CES3000000002    ,2007,M03,40.0,
CES3000000002    ,2007,M04,40.0,
CES3000000002    ,2007,M05,40.0,
CES3000000002    ,2007,M06,40.1,
CES3000000002    ,2007,M07,40.1,
CES3000000002    ,2007,M08,40.1,
CES3000000002    ,2007,M09,40.1,
CES3000000002    ,2007,M10,39.9,
CES3000000002    ,2007,M11,40.1,
CES3000000002    ,2007,M12,40.1,
CES3000000002    ,2008,M01,40.0,
CES3000000002    ,2008,M02,40.0,
CES3000000002    ,2008,M03,40.2,
CES3000000002    ,2008,M04,40.0,
CES3000000002    ,2008,M05,40.0,
CES3000000002    ,2008,M06,40.1,
CES3000000002    ,2008,M07,39.9,
CES3000000002    ,2008,M08,39.9,
CES3000000002    ,2008,M09,39.6,
CES3000000002    ,2008,M10,39.7,
CES3000000002    ,2008,M11,39.4,
CES3000000002    ,2008,M12,39.0,
CES3000000002    ,2009,M01,38.9,
CES3000000002    ,2009,M02,39.0,
CES3000000002    ,2009,M03,38.5,
CES3000000002    ,2009,M04,38.7,
CES3000000002    ,2009,M05,38.6,
CES3000000002    ,2009,M06,38.7,
CES3000000002    ,2009,M07,39.0,
CES3000000002    ,2009,M08,39.1,
CES3000000002    ,2009,M09,39.2,
CES3000000002    ,2009,M10,39.3,
CES3000000002    ,2009,M11,39.6,
CES3000000002    ,2009,M12,39.7,
CES3000000002    ,2010,M01,39.9,
CES3000000002    ,2010,M02,39.6,
CES3000000002    ,2010,M03,40.0,
CES3000000002    ,2010,M04,40.2,
CES3000000002    ,2010,M05,40.5,
CES3000000002    ,2010,M06,40.1,
CES3000000002    ,2010,M07,40.2,
CES3000000002    ,2010,M08,40.3,
CES3000000002    ,2010,M09,40.4,
CES3000000002    ,2010,M10,40.4,
CES3000000002    ,2010,M11,40.4,
CES3000000002    ,2010,M12,40.4,
CES3000000002    ,2011,M01,40.3,
CES3000000002    ,2011,M02,40.5,
CES3000000002    ,2011,M03,40.4,
CES3000000002    ,2011,M04,40.4,
CES3000000002    ,2011,M05,40.5,
CES3000000002    ,2011,M06,40.4,
CES3000000002    ,2011,M07,40.4,
CES3000000002    ,2011,M08,40.4,
CES3000000002    ,2011,M09,40.3,
CES3000000002    ,2011,M10,40.7,
CES3000000002    ,2011,M11,40.4,
CES3000000002    ,2011,M12,40.6,
CES3000000002    ,2012,M01,40.8,
CES3000000002    ,2012,M02,40.8,
CES3000000002    ,2012,M03,40.7,
CES3000000002    ,2012,M04,40.8,
CES3000000002    ,2012,M05,40.6,
CES3000000002    ,2012,M06,40.7,
CES3000000002    ,2012,M07,40.7,
CES3000000002    ,2012,M08,40.6,
CES3000000002    ,2012,M09,40.6,
CES3000000002    ,2012,M10,40.6,
CES3000000002    ,2012,M11,40.6,
CES3000000002    ,2012,M12,40.7,
CES3000000002    ,2013,M01,40.6,
CES3000000002    ,2013,M02,40.8,
CES3000000002    ,2013,M03,40.8,
CES3000000002    ,2013,M04,40.8,
CES3000000002    ,2013,M05,40.7,
CES3000000002    ,2013,M06,40.8,
CES3000000002    ,2013,M07,40.7,
CES3000000002    ,2013,M08,40.9,
CES3000000002    ,2013,M09,40.9,
CES3000000002    ,2013,M10,40.9,
CES3000000002    ,2013,M11,40.9,
CES3000000002    ,2013,M12,40.9,
CES3000000002    ,2014,M01,40.7,
CES3000000002    ,2014,M02,40.7,
CES3000000002    ,2014,M03,41.0,
CES3000000002    ,2014,M04,40.9,
CES3000000002    ,2014,M05,41.1,
CES3000000002    ,2014,M06,41.1,
CES3000000002    ,2014,M07,40.9,
CES3000000002    ,2014,M08,41.0,
CES3000000002    ,2014,M09,40.9,
CES3000000002    ,2014,M10,41.0,
CES3000000002    ,2014,M11,41.1,
CES3000000002    ,2014,M12,41.0,
CES3000000002    ,2015,M01,40.9,
CES3000000002    ,2015,M02,40.9,
CES3000000002    ,2015,M03,40.8,
CES3000000002    ,2015,M04,40.8,
CES3000000002    ,2015,M05,40.7,
CES3000000002    ,2015,M06,40.6,
CES3000000002    ,2015,M07,40.8,
CES3000000002    ,2015,M08,40.9,
CES3000000002    ,2015,M09,40.6,
