series_id        ,year,period,       value,footnote_codes
CES3200000001    ,1939,M01,4697.0,
CES3200000001    ,1939,M02,4721.0,
CES3200000001    ,1939,M03,4757.0,
CES3200000001    ,1939,M04,4759.0,
CES3200000001    ,1939,M05,4755.0,
CES3200000001    ,1939,M06,4754.0,
CES3200000001    ,1939,M07,4761.0,
CES3200000001    ,1939,M08,4822.0,
CES3200000001    ,1939,M09,4864.0,
CES3200000001    ,1939,M10,4928.0,
CES3200000001    ,1939,M11,4889.0,
CES3200000001    ,1939,M12,4852.0,
CES3200000001    ,1940,M01,4866.0,
CES3200000001    ,1940,M02,4858.0,
CES3200000001    ,1940,M03,4820.0,
CES3200000001    ,1940,M04,4772.0,
CES3200000001    ,1940,M05,4743.0,
CES3200000001    ,1940,M06,4742.0,
CES3200000001    ,1940,M07,4744.0,
CES3200000001    ,1940,M08,4805.0,
CES3200000001    ,1940,M09,4847.0,
CES3200000001    ,1940,M10,4917.0,
CES3200000001    ,1940,M11,4950.0,
CES3200000001    ,1940,M12,5011.0,
CES3200000001    ,1941,M01,5046.0,
CES3200000001    ,1941,M02,5101.0,
CES3200000001    ,1941,M03,5160.0,
CES3200000001    ,1941,M04,5244.0,
CES3200000001    ,1941,M05,5319.0,
CES3200000001    ,1941,M06,5390.0,
CES3200000001    ,1941,M07,5441.0,
CES3200000001    ,1941,M08,5477.0,
CES3200000001    ,1941,M09,5494.0,
CES3200000001    ,1941,M10,5496.0,
CES3200000001    ,1941,M11,5487.0,
CES3200000001    ,1941,M12,5490.0,
CES3200000001    ,1942,M01,5482.0,
CES3200000001    ,1942,M02,5498.0,
CES3200000001    ,1942,M03,5514.0,
CES3200000001    ,1942,M04,5533.0,
CES3200000001    ,1942,M05,5536.0,
CES3200000001    ,1942,M06,5499.0,
CES3200000001    ,1942,M07,5517.0,
CES3200000001    ,1942,M08,5522.0,
CES3200000001    ,1942,M09,5574.0,
CES3200000001    ,1942,M10,5556.0,
CES3200000001    ,1942,M11,5560.0,
CES3200000001    ,1942,M12,5586.0,
CES3200000001    ,1943,M01,5609.0,
CES3200000001    ,1943,M02,5595.0,
CES3200000001    ,1943,M03,5592.0,
CES3200000001    ,1943,M04,5580.0,
CES3200000001    ,1943,M05,5574.0,
CES3200000001    ,1943,M06,5601.0,
CES3200000001    ,1943,M07,5597.0,
CES3200000001    ,1943,M08,5582.0,
CES3200000001    ,1943,M09,5501.0,
CES3200000001    ,1943,M10,5540.0,
CES3200000001    ,1943,M11,5566.0,
CES3200000001    ,1943,M12,5536.0,
CES3200000001    ,1944,M01,5537.0,
