series_id        ,year,period,       value,footnote_codes
CES4000000007    ,1964,M01,39.6,
CES4000000007    ,1964,M02,39.7,
CES4000000007    ,1964,M03,39.7,
CES4000000007    ,1964,M04,39.8,
CES4000000007    ,1964,M05,39.8,
CES4000000007    ,1964,M06,39.7,
CES4000000007    ,1964,M07,39.7,
CES4000000007    ,1964,M08,39.4,
CES4000000007    ,1964,M09,39.6,
CES4000000007    ,1964,M10,39.7,
CES4000000007    ,1964,M11,39.6,
CES4000000007    ,1964,M12,39.7,
CES4000000007    ,1965,M01,39.7,
CES4000000007    ,1965,M02,39.7,
CES4000000007    ,1965,M03,39.7,
CES4000000007    ,1965,M04,39.7,
CES4000000007    ,1965,M05,39.8,
CES4000000007    ,1965,M06,39.5,
CES4000000007    ,1965,M07,39.4,
CES4000000007    ,1965,M08,39.4,
CES4000000007    ,1965,M09,39.5,
CES4000000007    ,1965,M10,39.5,
CES4000000007    ,1965,M11,39.4,
CES4000000007    ,1965,M12,39.4,
CES4000000007    ,1966,M01,39.3,
CES4000000007    ,1966,M02,39.4,
CES4000000007    ,1966,M03,39.2,
CES4000000007    ,1966,M04,39.2,
CES4000000007    ,1966,M05,39.2,
CES4000000007    ,1966,M06,39.2,
CES4000000007    ,1966,M07,39.1,
CES4000000007    ,1966,M08,39.1,
CES4000000007    ,1966,M09,38.9,
CES4000000007    ,1966,M10,38.9,
CES4000000007    ,1966,M11,38.9,
CES4000000007    ,1966,M12,38.8,
CES4000000007    ,1967,M01,38.8,
CES4000000007    ,1967,M02,38.8,
CES4000000007    ,1967,M03,38.6,
CES4000000007    ,1967,M04,38.5,
CES4000000007    ,1967,M05,38.6,
CES4000000007    ,1967,M06,38.6,
CES4000000007    ,1967,M07,38.5,
CES4000000007    ,1967,M08,38.5,
CES4000000007    ,1967,M09,38.5,
CES4000000007    ,1967,M10,38.4,
CES4000000007    ,1967,M11,38.4,
CES4000000007    ,1967,M12,38.3,
CES4000000007    ,1968,M01,38.3,
CES4000000007    ,1968,M02,38.3,
CES4000000007    ,1968,M03,38.3,
CES4000000007    ,1968,M04,38.3,
CES4000000007    ,1968,M05,38.2,
CES4000000007    ,1968,M06,38.3,
CES4000000007    ,1968,M07,38.3,
CES4000000007    ,1968,M08,38.2,
CES4000000007    ,1968,M09,38.2,
CES4000000007    ,1968,M10,38.1,
CES4000000007    ,1968,M11,38.1,
CES4000000007    ,1968,M12,38.0,
CES4000000007    ,1969,M01,38.2,
CES4000000007    ,1969,M02,38.0,
CES4000000007    ,1969,M03,38.0,
CES4000000007    ,1969,M04,37.9,
CES4000000007    ,1969,M05,38.0,
CES4000000007    ,1969,M06,37.8,
CES4000000007    ,1969,M07,37.9,
CES4000000007    ,1969,M08,37.9,
CES4000000007    ,1969,M09,37.9,
CES4000000007    ,1969,M10,37.8,
CES4000000007    ,1969,M11,37.8,
CES4000000007    ,1969,M12,37.9,
CES4000000007    ,1970,M01,37.8,
CES4000000007    ,1970,M02,37.7,
CES4000000007    ,1970,M03,37.6,
CES4000000007    ,1970,M04,37.5,
CES4000000007    ,1970,M05,37.6,
CES4000000007    ,1970,M06,37.5,
CES4000000007    ,1970,M07,37.6,
CES4000000007    ,1970,M08,37.6,
CES4000000007    ,1970,M09,37.5,
CES4000000007    ,1970,M10,37.5,
CES4000000007    ,1970,M11,37.5,
CES4000000007    ,1970,M12,37.4,
CES4000000007    ,1971,M01,37.3,
CES4000000007    ,1971,M02,37.4,
CES4000000007    ,1971,M03,37.3,
CES4000000007    ,1971,M04,37.4,
CES4000000007    ,1971,M05,37.2,
CES4000000007    ,1971,M06,37.4,
CES4000000007    ,1971,M07,37.0,
CES4000000007    ,1971,M08,37.4,
CES4000000007    ,1971,M09,37.4,
CES4000000007    ,1971,M10,37.4,
CES4000000007    ,1971,M11,37.4,
CES4000000007    ,1971,M12,37.6,
CES4000000007    ,1972,M01,37.5,
CES4000000007    ,1972,M02,37.5,
CES4000000007    ,1972,M03,37.5,
CES4000000007    ,1972,M04,37.4,
CES4000000007    ,1972,M05,37.3,
CES4000000007    ,1972,M06,37.4,
CES4000000007    ,1972,M07,37.3,
CES4000000007    ,1972,M08,37.3,
CES4000000007    ,1972,M09,37.3,
CES4000000007    ,1972,M10,37.3,
CES4000000007    ,1972,M11,37.3,
CES4000000007    ,1972,M12,37.3,
CES4000000007    ,1973,M01,37.3,
CES4000000007    ,1973,M02,37.3,
CES4000000007    ,1973,M03,37.3,
CES4000000007    ,1973,M04,37.1,
CES4000000007    ,1973,M05,37.1,
CES4000000007    ,1973,M06,37.2,
CES4000000007    ,1973,M07,37.2,
CES4000000007    ,1973,M08,37.2,
CES4000000007    ,1973,M09,37.1,
CES4000000007    ,1973,M10,37.0,
CES4000000007    ,1973,M11,37.2,
CES4000000007    ,1973,M12,37.0,
CES4000000007    ,1974,M01,37.0,
CES4000000007    ,1974,M02,36.8,
CES4000000007    ,1974,M03,36.9,
CES4000000007    ,1974,M04,37.0,
CES4000000007    ,1974,M05,36.9,
CES4000000007    ,1974,M06,36.8,
CES4000000007    ,1974,M07,36.8,
CES4000000007    ,1974,M08,36.7,
CES4000000007    ,1974,M09,36.7,
CES4000000007    ,1974,M10,36.6,
CES4000000007    ,1974,M11,36.5,
CES4000000007    ,1974,M12,36.5,
CES4000000007    ,1975,M01,36.6,
CES4000000007    ,1975,M02,36.4,
CES4000000007    ,1975,M03,36.4,
CES4000000007    ,1975,M04,36.3,
CES4000000007    ,1975,M05,36.3,
CES4000000007    ,1975,M06,36.3,
CES4000000007    ,1975,M07,36.4,
CES4000000007    ,1975,M08,36.4,
CES4000000007    ,1975,M09,36.4,
CES4000000007    ,1975,M10,36.4,
CES4000000007    ,1975,M11,36.4,
CES4000000007    ,1975,M12,36.4,
CES4000000007    ,1976,M01,36.5,
CES4000000007    ,1976,M02,36.4,
CES4000000007    ,1976,M03,36.2,
CES4000000007    ,1976,M04,36.4,
CES4000000007    ,1976,M05,36.3,
CES4000000007    ,1976,M06,36.3,
CES4000000007    ,1976,M07,36.2,
CES4000000007    ,1976,M08,36.1,
CES4000000007    ,1976,M09,36.2,
CES4000000007    ,1976,M10,36.0,
CES4000000007    ,1976,M11,36.0,
CES4000000007    ,1976,M12,36.1,
CES4000000007    ,1977,M01,36.0,
CES4000000007    ,1977,M02,36.1,
CES4000000007    ,1977,M03,36.0,
CES4000000007    ,1977,M04,35.9,
CES4000000007    ,1977,M05,36.0,
CES4000000007    ,1977,M06,36.0,
CES4000000007    ,1977,M07,35.9,
CES4000000007    ,1977,M08,36.0,
CES4000000007    ,1977,M09,35.9,
CES4000000007    ,1977,M10,36.0,
CES4000000007    ,1977,M11,35.8,
CES4000000007    ,1977,M12,35.8,
CES4000000007    ,1978,M01,35.5,
CES4000000007    ,1978,M02,35.6,
CES4000000007    ,1978,M03,35.8,
CES4000000007    ,1978,M04,35.7,
CES4000000007    ,1978,M05,35.7,
CES4000000007    ,1978,M06,35.7,
CES4000000007    ,1978,M07,35.7,
CES4000000007    ,1978,M08,35.6,
CES4000000007    ,1978,M09,35.6,
CES4000000007    ,1978,M10,35.6,
CES4000000007    ,1978,M11,35.4,
CES4000000007    ,1978,M12,35.6,
CES4000000007    ,1979,M01,35.4,
CES4000000007    ,1979,M02,35.5,
CES4000000007    ,1979,M03,35.5,
CES4000000007    ,1979,M04,35.3,
CES4000000007    ,1979,M05,35.5,
CES4000000007    ,1979,M06,35.5,
CES4000000007    ,1979,M07,35.5,
CES4000000007    ,1979,M08,35.4,
CES4000000007    ,1979,M09,35.4,
CES4000000007    ,1979,M10,35.4,
CES4000000007    ,1979,M11,35.5,
CES4000000007    ,1979,M12,35.3,
CES4000000007    ,1980,M01,35.3,
CES4000000007    ,1980,M02,35.2,
CES4000000007    ,1980,M03,35.1,
CES4000000007    ,1980,M04,34.9,
CES4000000007    ,1980,M05,35.0,
CES4000000007    ,1980,M06,34.8,
CES4000000007    ,1980,M07,34.8,
CES4000000007    ,1980,M08,34.9,
CES4000000007    ,1980,M09,34.9,
CES4000000007    ,1980,M10,35.0,
CES4000000007    ,1980,M11,35.0,
CES4000000007    ,1980,M12,35.0,
CES4000000007    ,1981,M01,35.2,
CES4000000007    ,1981,M02,35.1,
CES4000000007    ,1981,M03,35.0,
CES4000000007    ,1981,M04,35.1,
CES4000000007    ,1981,M05,34.9,
CES4000000007    ,1981,M06,34.9,
CES4000000007    ,1981,M07,35.0,
CES4000000007    ,1981,M08,34.9,
CES4000000007    ,1981,M09,34.9,
CES4000000007    ,1981,M10,34.8,
CES4000000007    ,1981,M11,34.8,
CES4000000007    ,1981,M12,34.6,
CES4000000007    ,1982,M01,34.5,
CES4000000007    ,1982,M02,34.9,
CES4000000007    ,1982,M03,34.7,
CES4000000007    ,1982,M04,34.6,
CES4000000007    ,1982,M05,34.6,
CES4000000007    ,1982,M06,34.5,
CES4000000007    ,1982,M07,34.6,
CES4000000007    ,1982,M08,34.6,
CES4000000007    ,1982,M09,34.7,
CES4000000007    ,1982,M10,34.5,
CES4000000007    ,1982,M11,34.5,
CES4000000007    ,1982,M12,34.6,
CES4000000007    ,1983,M01,34.6,
CES4000000007    ,1983,M02,34.2,
CES4000000007    ,1983,M03,34.5,
CES4000000007    ,1983,M04,34.5,
CES4000000007    ,1983,M05,34.5,
CES4000000007    ,1983,M06,34.5,
CES4000000007    ,1983,M07,34.5,
CES4000000007    ,1983,M08,34.6,
CES4000000007    ,1983,M09,34.6,
CES4000000007    ,1983,M10,34.8,
CES4000000007    ,1983,M11,34.7,
CES4000000007    ,1983,M12,34.9,
CES4000000007    ,1984,M01,34.8,
CES4000000007    ,1984,M02,34.7,
CES4000000007    ,1984,M03,34.7,
CES4000000007    ,1984,M04,34.8,
CES4000000007    ,1984,M05,34.7,
CES4000000007    ,1984,M06,34.7,
CES4000000007    ,1984,M07,34.7,
CES4000000007    ,1984,M08,34.6,
CES4000000007    ,1984,M09,34.7,
CES4000000007    ,1984,M10,34.5,
CES4000000007    ,1984,M11,34.5,
CES4000000007    ,1984,M12,34.6,
CES4000000007    ,1985,M01,34.5,
CES4000000007    ,1985,M02,34.4,
CES4000000007    ,1985,M03,34.5,
CES4000000007    ,1985,M04,34.3,
