series_id        ,year,period,       value,footnote_codes
CES4300000001    ,1972,M01,2614.3,
CES4300000001    ,1972,M02,2623.2,
CES4300000001    ,1972,M03,2640.5,
CES4300000001    ,1972,M04,2635.6,
CES4300000001    ,1972,M05,2634.9,
CES4300000001    ,1972,M06,2652.4,
CES4300000001    ,1972,M07,2652.8,
CES4300000001    ,1972,M08,2651.7,
CES4300000001    ,1972,M09,2653.8,
CES4300000001    ,1972,M10,2661.6,
CES4300000001    ,1972,M11,2675.1,
CES4300000001    ,1972,M12,2677.5,
CES4300000001    ,1973,M01,2684.8,
CES4300000001    ,1973,M02,2697.1,
CES4300000001    ,1973,M03,2712.4,
CES4300000001    ,1973,M04,2719.9,
CES4300000001    ,1973,M05,2717.8,
CES4300000001    ,1973,M06,2720.4,
CES4300000001    ,1973,M07,2721.3,
CES4300000001    ,1973,M08,2728.7,
CES4300000001    ,1973,M09,2732.8,
CES4300000001    ,1973,M10,2737.8,
CES4300000001    ,1973,M11,2739.2,
CES4300000001    ,1973,M12,2724.9,
CES4300000001    ,1974,M01,2763.7,
CES4300000001    ,1974,M02,2769.6,
CES4300000001    ,1974,M03,2769.5,
CES4300000001    ,1974,M04,2766.5,
CES4300000001    ,1974,M05,2764.8,
CES4300000001    ,1974,M06,2764.8,
CES4300000001    ,1974,M07,2765.6,
CES4300000001    ,1974,M08,2758.0,
CES4300000001    ,1974,M09,2738.0,
CES4300000001    ,1974,M10,2741.2,
CES4300000001    ,1974,M11,2737.9,
CES4300000001    ,1974,M12,2710.7,
CES4300000001    ,1975,M01,2687.2,
CES4300000001    ,1975,M02,2656.6,
CES4300000001    ,1975,M03,2638.4,
CES4300000001    ,1975,M04,2624.7,
CES4300000001    ,1975,M05,2619.9,
CES4300000001    ,1975,M06,2606.0,
CES4300000001    ,1975,M07,2609.4,
CES4300000001    ,1975,M08,2614.6,
CES4300000001    ,1975,M09,2606.8,
CES4300000001    ,1975,M10,2607.7,
CES4300000001    ,1975,M11,2613.2,
CES4300000001    ,1975,M12,2590.9,
CES4300000001    ,1976,M01,2630.4,
CES4300000001    ,1976,M02,2644.6,
CES4300000001    ,1976,M03,2653.9,
CES4300000001    ,1976,M04,2661.3,
CES4300000001    ,1976,M05,2655.8,
CES4300000001    ,1976,M06,2668.7,
CES4300000001    ,1976,M07,2680.2,
CES4300000001    ,1976,M08,2680.2,
CES4300000001    ,1976,M09,2690.0,
CES4300000001    ,1976,M10,2675.1,
CES4300000001    ,1976,M11,2682.8,
CES4300000001    ,1976,M12,2705.0,
CES4300000001    ,1977,M01,2717.9,
CES4300000001    ,1977,M02,2726.9,
CES4300000001    ,1977,M03,2730.4,
CES4300000001    ,1977,M04,2745.5,
CES4300000001    ,1977,M05,2755.0,
CES4300000001    ,1977,M06,2763.6,
CES4300000001    ,1977,M07,2778.6,
CES4300000001    ,1977,M08,2783.5,
CES4300000001    ,1977,M09,2806.2,
CES4300000001    ,1977,M10,2791.3,
CES4300000001    ,1977,M11,2799.0,
CES4300000001    ,1977,M12,2814.8,
CES4300000001    ,1978,M01,2827.8,
CES4300000001    ,1978,M02,2837.3,
CES4300000001    ,1978,M03,2857.7,
CES4300000001    ,1978,M04,2879.3,
CES4300000001    ,1978,M05,2881.2,
CES4300000001    ,1978,M06,2904.8,
CES4300000001    ,1978,M07,2872.2,
CES4300000001    ,1978,M08,2888.5,
CES4300000001    ,1978,M09,2902.2,
CES4300000001    ,1978,M10,2932.6,
CES4300000001    ,1978,M11,2955.1,
CES4300000001    ,1978,M12,2970.0,
CES4300000001    ,1979,M01,2976.8,
CES4300000001    ,1979,M02,2988.6,
CES4300000001    ,1979,M03,2997.0,
CES4300000001    ,1979,M04,2906.2,
CES4300000001    ,1979,M05,2988.5,
CES4300000001    ,1979,M06,3031.6,
CES4300000001    ,1979,M07,3028.9,
CES4300000001    ,1979,M08,3030.6,
CES4300000001    ,1979,M09,3028.7,
