series_id        ,year,period,       value,footnote_codes
CES5000000002    ,2006,M03,36.4,
CES5000000002    ,2006,M04,36.4,
CES5000000002    ,2006,M05,36.5,
CES5000000002    ,2006,M06,36.5,
CES5000000002    ,2006,M07,36.4,
CES5000000002    ,2006,M08,36.5,
CES5000000002    ,2006,M09,36.3,
CES5000000002    ,2006,M10,36.2,
CES5000000002    ,2006,M11,36.1,
CES5000000002    ,2006,M12,36.1,
CES5000000002    ,2007,M01,36.0,
CES5000000002    ,2007,M02,36.2,
CES5000000002    ,2007,M03,36.2,
CES5000000002    ,2007,M04,36.0,
CES5000000002    ,2007,M05,35.9,
CES5000000002    ,2007,M06,36.0,
CES5000000002    ,2007,M07,36.2,
CES5000000002    ,2007,M08,36.1,
CES5000000002    ,2007,M09,36.0,
CES5000000002    ,2007,M10,36.1,
CES5000000002    ,2007,M11,36.2,
CES5000000002    ,2007,M12,35.8,
CES5000000002    ,2008,M01,36.5,
CES5000000002    ,2008,M02,36.6,
CES5000000002    ,2008,M03,36.5,
CES5000000002    ,2008,M04,36.7,
CES5000000002    ,2008,M05,36.5,
CES5000000002    ,2008,M06,36.1,
CES5000000002    ,2008,M07,36.6,
CES5000000002    ,2008,M08,36.6,
CES5000000002    ,2008,M09,36.7,
CES5000000002    ,2008,M10,36.8,
CES5000000002    ,2008,M11,36.3,
CES5000000002    ,2008,M12,36.7,
CES5000000002    ,2009,M01,36.5,
CES5000000002    ,2009,M02,36.4,
CES5000000002    ,2009,M03,36.4,
CES5000000002    ,2009,M04,36.4,
CES5000000002    ,2009,M05,36.5,
CES5000000002    ,2009,M06,36.4,
CES5000000002    ,2009,M07,36.5,
CES5000000002    ,2009,M08,36.3,
CES5000000002    ,2009,M09,36.5,
CES5000000002    ,2009,M10,36.5,
CES5000000002    ,2009,M11,36.4,
CES5000000002    ,2009,M12,36.5,
CES5000000002    ,2010,M01,36.6,
CES5000000002    ,2010,M02,36.5,
CES5000000002    ,2010,M03,36.6,
CES5000000002    ,2010,M04,36.6,
CES5000000002    ,2010,M05,36.6,
CES5000000002    ,2010,M06,36.6,
CES5000000002    ,2010,M07,36.6,
CES5000000002    ,2010,M08,36.6,
CES5000000002    ,2010,M09,36.6,
CES5000000002    ,2010,M10,36.9,
CES5000000002    ,2010,M11,36.7,
CES5000000002    ,2010,M12,36.6,
CES5000000002    ,2011,M01,36.6,
CES5000000002    ,2011,M02,36.6,
CES5000000002    ,2011,M03,36.7,
CES5000000002    ,2011,M04,36.7,
CES5000000002    ,2011,M05,36.6,
CES5000000002    ,2011,M06,36.6,
CES5000000002    ,2011,M07,36.7,
CES5000000002    ,2011,M08,36.5,
CES5000000002    ,2011,M09,36.7,
CES5000000002    ,2011,M10,36.7,
CES5000000002    ,2011,M11,36.9,
CES5000000002    ,2011,M12,36.8,
CES5000000002    ,2012,M01,36.8,
CES5000000002    ,2012,M02,36.7,
CES5000000002    ,2012,M03,36.7,
CES5000000002    ,2012,M04,36.6,
CES5000000002    ,2012,M05,36.6,
CES5000000002    ,2012,M06,36.6,
CES5000000002    ,2012,M07,36.5,
CES5000000002    ,2012,M08,36.5,
CES5000000002    ,2012,M09,36.5,
CES5000000002    ,2012,M10,36.4,
CES5000000002    ,2012,M11,36.5,
CES5000000002    ,2012,M12,36.4,
CES5000000002    ,2013,M01,36.5,
CES5000000002    ,2013,M02,36.4,
CES5000000002    ,2013,M03,36.5,
CES5000000002    ,2013,M04,36.5,
CES5000000002    ,2013,M05,36.6,
CES5000000002    ,2013,M06,36.7,
CES5000000002    ,2013,M07,36.6,
CES5000000002    ,2013,M08,36.9,
CES5000000002    ,2013,M09,36.7,
CES5000000002    ,2013,M10,36.8,
CES5000000002    ,2013,M11,36.8,
CES5000000002    ,2013,M12,36.8,
CES5000000002    ,2014,M01,36.7,
CES5000000002    ,2014,M02,36.8,
CES5000000002    ,2014,M03,36.9,
CES5000000002    ,2014,M04,36.8,
CES5000000002    ,2014,M05,36.7,
CES5000000002    ,2014,M06,36.6,
CES5000000002    ,2014,M07,36.6,
CES5000000002    ,2014,M08,36.7,
CES5000000002    ,2014,M09,36.7,
CES5000000002    ,2014,M10,36.7,
CES5000000002    ,2014,M11,36.6,
CES5000000002    ,2014,M12,36.5,
CES5000000002    ,2015,M01,36.5,
CES5000000002    ,2015,M02,36.4,
CES5000000002    ,2015,M03,36.4,
