series_id        ,year,period,       value,footnote_codes
CES7000000001    ,1939,M01,1860.0,
CES7000000001    ,1939,M02,1867.0,
CES7000000001    ,1939,M03,1877.0,
CES7000000001    ,1939,M04,1887.0,
CES7000000001    ,1939,M05,1888.0,
CES7000000001    ,1939,M06,1895.0,
CES7000000001    ,1939,M07,1897.0,
CES7000000001    ,1939,M08,1899.0,
CES7000000001    ,1939,M09,1918.0,
CES7000000001    ,1939,M10,1910.0,
CES7000000001    ,1939,M11,1913.0,
CES7000000001    ,1939,M12,1930.0,
CES7000000001    ,1940,M01,1936.0,
CES7000000001    ,1940,M02,1945.0,
CES7000000001    ,1940,M03,1993.0,
CES7000000001    ,1940,M04,1965.0,
CES7000000001    ,1940,M05,1979.0,
CES7000000001    ,1940,M06,1995.0,
CES7000000001    ,1940,M07,1988.0,
CES7000000001    ,1940,M08,2000.0,
CES7000000001    ,1940,M09,2023.0,
CES7000000001    ,1940,M10,2023.0,
CES7000000001    ,1940,M11,2025.0,
CES7000000001    ,1940,M12,2056.0,
CES7000000001    ,1941,M01,2045.0,
CES7000000001    ,1941,M02,2061.0,
CES7000000001    ,1941,M03,2074.0,
CES7000000001    ,1941,M04,2138.0,
CES7000000001    ,1941,M05,2110.0,
CES7000000001    ,1941,M06,2133.0,
CES7000000001    ,1941,M07,2151.0,
CES7000000001    ,1941,M08,2172.0,
CES7000000001    ,1941,M09,2175.0,
CES7000000001    ,1941,M10,2165.0,
CES7000000001    ,1941,M11,2165.0,
CES7000000001    ,1941,M12,2165.0,
CES7000000001    ,1942,M01,2161.0,
CES7000000001    ,1942,M02,2154.0,
CES7000000001    ,1942,M03,2149.0,
CES7000000001    ,1942,M04,2141.0,
CES7000000001    ,1942,M05,2137.0,
CES7000000001    ,1942,M06,2123.0,
CES7000000001    ,1942,M07,2118.0,
CES7000000001    ,1942,M08,2124.0,
CES7000000001    ,1942,M09,2118.0,
CES7000000001    ,1942,M10,2132.0,
CES7000000001    ,1942,M11,2126.0,
CES7000000001    ,1942,M12,2118.0,
CES7000000001    ,1943,M01,2115.0,
CES7000000001    ,1943,M02,2113.0,
CES7000000001    ,1943,M03,2112.0,
CES7000000001    ,1943,M04,2139.0,
CES7000000001    ,1943,M05,2118.0,
CES7000000001    ,1943,M06,2128.0,
CES7000000001    ,1943,M07,2125.0,
CES7000000001    ,1943,M08,2122.0,
CES7000000001    ,1943,M09,2115.0,
CES7000000001    ,1943,M10,2133.0,
CES7000000001    ,1943,M11,2142.0,
CES7000000001    ,1943,M12,2112.0,
CES7000000001    ,1944,M01,2139.0,
CES7000000001    ,1944,M02,2142.0,
CES7000000001    ,1944,M03,2138.0,
CES7000000001    ,1944,M04,2138.0,
CES7000000001    ,1944,M05,2135.0,
CES7000000001    ,1944,M06,2136.0,
CES7000000001    ,1944,M07,2145.0,
CES7000000001    ,1944,M08,2149.0,
