series_id        ,year,period,       value,footnote_codes
CES8000000001    ,1939,M01,543.0,
CES8000000001    ,1939,M02,544.0,
CES8000000001    ,1939,M03,546.0,
CES8000000001    ,1939,M04,546.0,
CES8000000001    ,1939,M05,550.0,
CES8000000001    ,1939,M06,553.0,
CES8000000001    ,1939,M07,555.0,
CES8000000001    ,1939,M08,555.0,
CES8000000001    ,1939,M09,560.0,
CES8000000001    ,1939,M10,557.0,
CES8000000001    ,1939,M11,559.0,
CES8000000001    ,1939,M12,562.0,
CES8000000001    ,1940,M01,564.0,
CES8000000001    ,1940,M02,566.0,
CES8000000001    ,1940,M03,569.0,
CES8000000001    ,1940,M04,572.0,
CES8000000001    ,1940,M05,574.0,
CES8000000001    ,1940,M06,576.0,
CES8000000001    ,1940,M07,578.0,
CES8000000001    ,1940,M08,581.0,
CES8000000001    ,1940,M09,585.0,
CES8000000001    ,1940,M10,588.0,
CES8000000001    ,1940,M11,590.0,
CES8000000001    ,1940,M12,593.0,
CES8000000001    ,1941,M01,596.0,
CES8000000001    ,1941,M02,600.0,
CES8000000001    ,1941,M03,604.0,
CES8000000001    ,1941,M04,609.0,
CES8000000001    ,1941,M05,613.0,
CES8000000001    ,1941,M06,615.0,
CES8000000001    ,1941,M07,619.0,
CES8000000001    ,1941,M08,623.0,
CES8000000001    ,1941,M09,624.0,
CES8000000001    ,1941,M10,627.0,
CES8000000001    ,1941,M11,629.0,
CES8000000001    ,1941,M12,632.0,
CES8000000001    ,1942,M01,634.0,
CES8000000001    ,1942,M02,632.0,
CES8000000001    ,1942,M03,635.0,
CES8000000001    ,1942,M04,637.0,
CES8000000001    ,1942,M05,639.0,
CES8000000001    ,1942,M06,641.0,
CES8000000001    ,1942,M07,644.0,
CES8000000001    ,1942,M08,646.0,
CES8000000001    ,1942,M09,647.0,
CES8000000001    ,1942,M10,647.0,
CES8000000001    ,1942,M11,646.0,
CES8000000001    ,1942,M12,646.0,
CES8000000001    ,1943,M01,648.0,
CES8000000001    ,1943,M02,649.0,
CES8000000001    ,1943,M03,650.0,
CES8000000001    ,1943,M04,650.0,
CES8000000001    ,1943,M05,651.0,
CES8000000001    ,1943,M06,651.0,
CES8000000001    ,1943,M07,651.0,
CES8000000001    ,1943,M08,651.0,
CES8000000001    ,1943,M09,653.0,
CES8000000001    ,1943,M10,654.0,
CES8000000001    ,1943,M11,656.0,
CES8000000001    ,1943,M12,657.0,
CES8000000001    ,1944,M01,654.0,
CES8000000001    ,1944,M02,654.0,
CES8000000001    ,1944,M03,655.0,
CES8000000001    ,1944,M04,653.0,
CES8000000001    ,1944,M05,653.0,
CES8000000001    ,1944,M06,655.0,
CES8000000001    ,1944,M07,653.0,
CES8000000001    ,1944,M08,653.0,
CES8000000001    ,1944,M09,653.0,
CES8000000001    ,1944,M10,652.0,
CES8000000001    ,1944,M11,653.0,
CES8000000001    ,1944,M12,653.0,
CES8000000001    ,1945,M01,652.0,
CES8000000001    ,1945,M02,653.0,
CES8000000001    ,1945,M03,652.0,
CES8000000001    ,1945,M04,652.0,
CES8000000001    ,1945,M05,652.0,
CES8000000001    ,1945,M06,658.0,
CES8000000001    ,1945,M07,662.0,
CES8000000001    ,1945,M08,667.0,
CES8000000001    ,1945,M09,668.0,
CES8000000001    ,1945,M10,677.0,
CES8000000001    ,1945,M11,684.0,
CES8000000001    ,1945,M12,692.0,
CES8000000001    ,1946,M01,705.0,
CES8000000001    ,1946,M02,710.0,
CES8000000001    ,1946,M03,718.0,
CES8000000001    ,1946,M04,726.0,
CES8000000001    ,1946,M05,731.0,
CES8000000001    ,1946,M06,735.0,
CES8000000001    ,1946,M07,738.0,
CES8000000001    ,1946,M08,745.0,
CES8000000001    ,1946,M09,756.0,
CES8000000001    ,1946,M10,756.0,
CES8000000001    ,1946,M11,761.0,
CES8000000001    ,1946,M12,765.0,
CES8000000001    ,1947,M01,775.0,
CES8000000001    ,1947,M02,777.0,
CES8000000001    ,1947,M03,778.0,
CES8000000001    ,1947,M04,781.0,
CES8000000001    ,1947,M05,783.0,
CES8000000001    ,1947,M06,786.0,
CES8000000001    ,1947,M07,789.0,
CES8000000001    ,1947,M08,791.0,
CES8000000001    ,1947,M09,793.0,
CES8000000001    ,1947,M10,797.0,
CES8000000001    ,1947,M11,799.0,
CES8000000001    ,1947,M12,801.0,
CES8000000001    ,1948,M01,802.0,
CES8000000001    ,1948,M02,802.0,
CES8000000001    ,1948,M03,804.0,
CES8000000001    ,1948,M04,809.0,
CES8000000001    ,1948,M05,811.0,
CES8000000001    ,1948,M06,814.0,
CES8000000001    ,1948,M07,815.0,
CES8000000001    ,1948,M08,816.0,
CES8000000001    ,1948,M09,817.0,
CES8000000001    ,1948,M10,816.0,
CES8000000001    ,1948,M11,816.0,
CES8000000001    ,1948,M12,819.0,
CES8000000001    ,1949,M01,815.0,
CES8000000001    ,1949,M02,817.0,
CES8000000001    ,1949,M03,815.0,
CES8000000001    ,1949,M04,818.0,
CES8000000001    ,1949,M05,820.0,
CES8000000001    ,1949,M06,819.0,
CES8000000001    ,1949,M07,821.0,
CES8000000001    ,1949,M08,820.0,
CES8000000001    ,1949,M09,823.0,
CES8000000001    ,1949,M10,824.0,
CES8000000001    ,1949,M11,825.0,
CES8000000001    ,1949,M12,826.0,
CES8000000001    ,1950,M01,824.0,
CES8000000001    ,1950,M02,827.0,
CES8000000001    ,1950,M03,827.0,
CES8000000001    ,1950,M04,833.0,
CES8000000001    ,1950,M05,836.0,
CES8000000001    ,1950,M06,839.0,
CES8000000001    ,1950,M07,841.0,
CES8000000001    ,1950,M08,845.0,
CES8000000001    ,1950,M09,846.0,
CES8000000001    ,1950,M10,848.0,
CES8000000001    ,1950,M11,850.0,
CES8000000001    ,1950,M12,853.0,
CES8000000001    ,1951,M01,857.0,
CES8000000001    ,1951,M02,859.0,
CES8000000001    ,1951,M03,863.0,
CES8000000001    ,1951,M04,864.0,
CES8000000001    ,1951,M05,866.0,
CES8000000001    ,1951,M06,869.0,
CES8000000001    ,1951,M07,871.0,
CES8000000001    ,1951,M08,875.0,
CES8000000001    ,1951,M09,874.0,
CES8000000001    ,1951,M10,876.0,
CES8000000001    ,1951,M11,879.0,
CES8000000001    ,1951,M12,880.0,
CES8000000001    ,1952,M01,884.0,
CES8000000001    ,1952,M02,888.0,
CES8000000001    ,1952,M03,888.0,
CES8000000001    ,1952,M04,889.0,
CES8000000001    ,1952,M05,892.0,
CES8000000001    ,1952,M06,892.0,
CES8000000001    ,1952,M07,893.0,
CES8000000001    ,1952,M08,896.0,
CES8000000001    ,1952,M09,897.0,
CES8000000001    ,1952,M10,898.0,
CES8000000001    ,1952,M11,900.0,
CES8000000001    ,1952,M12,904.0,
CES8000000001    ,1953,M01,902.0,
CES8000000001    ,1953,M02,906.0,
CES8000000001    ,1953,M03,908.0,
CES8000000001    ,1953,M04,911.0,
CES8000000001    ,1953,M05,913.0,
CES8000000001    ,1953,M06,916.0,
CES8000000001    ,1953,M07,917.0,
CES8000000001    ,1953,M08,919.0,
CES8000000001    ,1953,M09,923.0,
CES8000000001    ,1953,M10,923.0,
CES8000000001    ,1953,M11,924.0,
CES8000000001    ,1953,M12,924.0,
CES8000000001    ,1954,M01,923.0,
CES8000000001    ,1954,M02,925.0,
CES8000000001    ,1954,M03,926.0,
CES8000000001    ,1954,M04,928.0,
CES8000000001    ,1954,M05,931.0,
CES8000000001    ,1954,M06,934.0,
CES8000000001    ,1954,M07,938.0,
CES8000000001    ,1954,M08,940.0,
CES8000000001    ,1954,M09,945.0,
CES8000000001    ,1954,M10,944.0,
CES8000000001    ,1954,M11,946.0,
CES8000000001    ,1954,M12,949.0,
CES8000000001    ,1955,M01,953.0,
CES8000000001    ,1955,M02,956.0,
CES8000000001    ,1955,M03,959.0,
CES8000000001    ,1955,M04,965.0,
CES8000000001    ,1955,M05,968.0,
CES8000000001    ,1955,M06,973.0,
CES8000000001    ,1955,M07,980.0,
CES8000000001    ,1955,M08,985.0,
CES8000000001    ,1955,M09,991.0,
CES8000000001    ,1955,M10,997.0,
CES8000000001    ,1955,M11,1002.0,
CES8000000001    ,1955,M12,1006.0,
CES8000000001    ,1956,M01,1009.0,
CES8000000001    ,1956,M02,1014.0,
CES8000000001    ,1956,M03,1017.0,
CES8000000001    ,1956,M04,1017.0,
CES8000000001    ,1956,M05,1017.0,
CES8000000001    ,1956,M06,1017.0,
CES8000000001    ,1956,M07,1012.0,
CES8000000001    ,1956,M08,1014.0,
CES8000000001    ,1956,M09,1018.0,
CES8000000001    ,1956,M10,1023.0,
CES8000000001    ,1956,M11,1027.0,
CES8000000001    ,1956,M12,1030.0,
CES8000000001    ,1957,M01,1035.0,
CES8000000001    ,1957,M02,1041.0,
CES8000000001    ,1957,M03,1042.0,
CES8000000001    ,1957,M04,1044.0,
CES8000000001    ,1957,M05,1049.0,
CES8000000001    ,1957,M06,1051.0,
CES8000000001    ,1957,M07,1053.0,
CES8000000001    ,1957,M08,1054.0,
CES8000000001    ,1957,M09,1057.0,
CES8000000001    ,1957,M10,1057.0,
CES8000000001    ,1957,M11,1057.0,
CES8000000001    ,1957,M12,1056.0,
CES8000000001    ,1958,M01,1052.0,
CES8000000001    ,1958,M02,1050.0,
CES8000000001    ,1958,M03,1050.0,
CES8000000001    ,1958,M04,1050.0,
CES8000000001    ,1958,M05,1051.0,
CES8000000001    ,1958,M06,1052.0,
CES8000000001    ,1958,M07,1055.0,
CES8000000001    ,1958,M08,1060.0,
CES8000000001    ,1958,M09,1063.0,
CES8000000001    ,1958,M10,1067.0,
CES8000000001    ,1958,M11,1068.0,
CES8000000001    ,1958,M12,1075.0,
CES8000000001    ,1959,M01,1085.0,
CES8000000001    ,1959,M02,1090.0,
CES8000000001    ,1959,M03,1094.0,
CES8000000001    ,1959,M04,1100.0,
CES8000000001    ,1959,M05,1104.0,
CES8000000001    ,1959,M06,1107.0,
CES8000000001    ,1959,M07,1108.0,
CES8000000001    ,1959,M08,1110.0,
CES8000000001    ,1959,M09,1115.0,
CES8000000001    ,1959,M10,1119.0,
CES8000000001    ,1959,M11,1124.0,
CES8000000001    ,1959,M12,1130.0,
CES8000000001    ,1960,M01,1135.0,
CES8000000001    ,1960,M02,1140.0,
CES8000000001    ,1960,M03,1140.0,
CES8000000001    ,1960,M04,1145.0,
CES8000000001    ,1960,M05,1148.0,
CES8000000001    ,1960,M06,1152.0,
CES8000000001    ,1960,M07,1156.0,
CES8000000001    ,1960,M08,1157.0,
CES8000000001    ,1960,M09,1156.0,
CES8000000001    ,1960,M10,1161.0,
CES8000000001    ,1960,M11,1164.0,
CES8000000001    ,1960,M12,1165.0,
CES8000000001    ,1961,M01,1168.0,
CES8000000001    ,1961,M02,1170.0,
CES8000000001    ,1961,M03,1174.0,
CES8000000001    ,1961,M04,1176.0,
CES8000000001    ,1961,M05,1177.0,
CES8000000001    ,1961,M06,1183.0,
CES8000000001    ,1961,M07,1188.0,
CES8000000001    ,1961,M08,1193.0,
CES8000000001    ,1961,M09,1199.0,
CES8000000001    ,1961,M10,1203.0,
CES8000000001    ,1961,M11,1208.0,
CES8000000001    ,1961,M12,1214.0,
CES8000000001    ,1962,M01,1218.0,
CES8000000001    ,1962,M02,1223.0,
CES8000000001    ,1962,M03,1228.0,
CES8000000001    ,1962,M04,1233.0,
CES8000000001    ,1962,M05,1238.0,
CES8000000001    ,1962,M06,1243.0,
CES8000000001    ,1962,M07,1247.0,
CES8000000001    ,1962,M08,1251.0,
CES8000000001    ,1962,M09,1255.0,
CES8000000001    ,1962,M10,1257.0,
CES8000000001    ,1962,M11,1260.0,
CES8000000001    ,1962,M12,1263.0,
CES8000000001    ,1963,M01,1265.0,
CES8000000001    ,1963,M02,1268.0,
CES8000000001    ,1963,M03,1273.0,
CES8000000001    ,1963,M04,1277.0,
CES8000000001    ,1963,M05,1280.0,
CES8000000001    ,1963,M06,1285.0,
CES8000000001    ,1963,M07,1289.0,
CES8000000001    ,1963,M08,1294.0,
CES8000000001    ,1963,M09,1299.0,
CES8000000001    ,1963,M10,1307.0,
CES8000000001    ,1963,M11,1309.0,
CES8000000001    ,1963,M12,1313.0,
CES8000000001    ,1964,M01,1320.0,
CES8000000001    ,1964,M02,1326.0,
CES8000000001    ,1964,M03,1327.0,
CES8000000001    ,1964,M04,1334.0,
CES8000000001    ,1964,M05,1340.0,
CES8000000001    ,1964,M06,1344.0,
CES8000000001    ,1964,M07,1351.0,
CES8000000001    ,1964,M08,1354.0,
CES8000000001    ,1964,M09,1361.0,
CES8000000001    ,1964,M10,1364.0,
CES8000000001    ,1964,M11,1366.0,
CES8000000001    ,1964,M12,1369.0,
CES8000000001    ,1965,M01,1374.0,
CES8000000001    ,1965,M02,1380.0,
CES8000000001    ,1965,M03,1384.0,
CES8000000001    ,1965,M04,1391.0,
CES8000000001    ,1965,M05,1397.0,
CES8000000001    ,1965,M06,1401.0,
CES8000000001    ,1965,M07,1409.0,
CES8000000001    ,1965,M08,1412.0,
CES8000000001    ,1965,M09,1417.0,
CES8000000001    ,1965,M10,1422.0,
CES8000000001    ,1965,M11,1427.0,
CES8000000001    ,1965,M12,1434.0,
CES8000000001    ,1966,M01,1440.0,
CES8000000001    ,1966,M02,1446.0,
CES8000000001    ,1966,M03,1452.0,
CES8000000001    ,1966,M04,1458.0,
CES8000000001    ,1966,M05,1464.0,
CES8000000001    ,1966,M06,1472.0,
CES8000000001    ,1966,M07,1479.0,
CES8000000001    ,1966,M08,1485.0,
CES8000000001    ,1966,M09,1490.0,
CES8000000001    ,1966,M10,1497.0,
CES8000000001    ,1966,M11,1503.0,
CES8000000001    ,1966,M12,1510.0,
CES8000000001    ,1967,M01,1518.0,
CES8000000001    ,1967,M02,1524.0,
CES8000000001    ,1967,M03,1532.0,
CES8000000001    ,1967,M04,1540.0,
CES8000000001    ,1967,M05,1547.0,
CES8000000001    ,1967,M06,1554.0,
CES8000000001    ,1967,M07,1562.0,
CES8000000001    ,1967,M08,1569.0,
CES8000000001    ,1967,M09,1577.0,
CES8000000001    ,1967,M10,1582.0,
CES8000000001    ,1967,M11,1593.0,
CES8000000001    ,1967,M12,1599.0,
CES8000000001    ,1968,M01,1603.0,
CES8000000001    ,1968,M02,1610.0,
CES8000000001    ,1968,M03,1613.0,
CES8000000001    ,1968,M04,1617.0,
CES8000000001    ,1968,M05,1624.0,
CES8000000001    ,1968,M06,1633.0,
CES8000000001    ,1968,M07,1640.0,
CES8000000001    ,1968,M08,1648.0,
CES8000000001    ,1968,M09,1650.0,
CES8000000001    ,1968,M10,1662.0,
CES8000000001    ,1968,M11,1674.0,
CES8000000001    ,1968,M12,1682.0,
CES8000000001    ,1969,M01,1691.0,
CES8000000001    ,1969,M02,1698.0,
CES8000000001    ,1969,M03,1709.0,
CES8000000001    ,1969,M04,1716.0,
CES8000000001    ,1969,M05,1722.0,
CES8000000001    ,1969,M06,1728.0,
CES8000000001    ,1969,M07,1736.0,
CES8000000001    ,1969,M08,1742.0,
CES8000000001    ,1969,M09,1744.0,
CES8000000001    ,1969,M10,1756.0,
CES8000000001    ,1969,M11,1759.0,
CES8000000001    ,1969,M12,1765.0,
CES8000000001    ,1970,M01,1771.0,
CES8000000001    ,1970,M02,1778.0,
CES8000000001    ,1970,M03,1781.0,
CES8000000001    ,1970,M04,1785.0,
CES8000000001    ,1970,M05,1789.0,
CES8000000001    ,1970,M06,1787.0,
CES8000000001    ,1970,M07,1785.0,
CES8000000001    ,1970,M08,1781.0,
CES8000000001    ,1970,M09,1795.0,
CES8000000001    ,1970,M10,1801.0,
CES8000000001    ,1970,M11,1804.0,
CES8000000001    ,1970,M12,1806.0,
CES8000000001    ,1971,M01,1810.0,
CES8000000001    ,1971,M02,1809.0,
CES8000000001    ,1971,M03,1814.0,
CES8000000001    ,1971,M04,1816.0,
CES8000000001    ,1971,M05,1820.0,
CES8000000001    ,1971,M06,1825.0,
CES8000000001    ,1971,M07,1828.0,
CES8000000001    ,1971,M08,1826.0,
CES8000000001    ,1971,M09,1836.0,
