series_id        ,year,period,       value,footnote_codes
CES0000000001    ,1939,M01,29923.0,
CES0000000001    ,1939,M02,30100.0,
CES0000000001    ,1939,M03,30280.0,
CES0000000001    ,1939,M04,30094.0,
CES0000000001    ,1939,M05,30299.0,
CES0000000001    ,1939,M06,30502.0,
CES0000000001    ,1939,M07,30419.0,
CES0000000001    ,1939,M08,30663.0,
CES0000000001    ,1939,M09,31031.0,
CES0000000001    ,1939,M10,31411.0,
CES0000000001    ,1939,M11,31470.0,
CES0000000001    ,1939,M12,31542.0,
CES0000000001    ,1940,M01,31603.0,
CES0000000001    ,1940,M02,31715.0,
CES0000000001    ,1940,M03,31825.0,
CES0000000001    ,1940,M04,31701.0,
CES0000000001    ,1940,M05,31879.0,
CES0000000001    ,1940,M06,31977.0,
CES0000000001    ,1940,M07,31942.0,
CES0000000001    ,1940,M08,32352.0,
CES0000000001    ,1940,M09,32810.0,
CES0000000001    ,1940,M10,33267.0,
CES0000000001    ,1940,M11,33669.0,
CES0000000001    ,1940,M12,34174.0,
CES0000000001    ,1941,M01,34481.0,
CES0000000001    ,1941,M02,34843.0,
CES0000000001    ,1941,M03,35092.0,
CES0000000001    ,1941,M04,35468.0,
CES0000000001    ,1941,M05,36182.0,
CES0000000001    ,1941,M06,36650.0,
CES0000000001    ,1941,M07,37137.0,
CES0000000001    ,1941,M08,37544.0,
CES0000000001    ,1941,M09,37835.0,
CES0000000001    ,1941,M10,37949.0,
CES0000000001    ,1941,M11,38024.0,
CES0000000001    ,1941,M12,38104.0,
CES0000000001    ,1942,M01,38347.0,
CES0000000001    ,1942,M02,38512.0,
CES0000000001    ,1942,M03,38935.0,
CES0000000001    ,1942,M04,39352.0,
CES0000000001    ,1942,M05,39771.0,
CES0000000001    ,1942,M06,40029.0,
CES0000000001    ,1942,M07,40472.0,
CES0000000001    ,1942,M08,40988.0,
CES0000000001    ,1942,M09,41259.0,
CES0000000001    ,1942,M10,41515.0,
CES0000000001    ,1942,M11,41674.0,
CES0000000001    ,1942,M12,41915.0,
CES0000000001    ,1943,M01,42172.0,
CES0000000001    ,1943,M02,42393.0,
CES0000000001    ,1943,M03,42552.0,
CES0000000001    ,1943,M04,42647.0,
CES0000000001    ,1943,M05,42596.0,
CES0000000001    ,1943,M06,42781.0,
CES0000000001    ,1943,M07,42700.0,
CES0000000001    ,1943,M08,42546.0,
CES0000000001    ,1943,M09,42492.0,
CES0000000001    ,1943,M10,42675.0,
CES0000000001    ,1943,M11,42821.0,
